District,School_Count
Wichita,87
Olathe,52
Shawnee Mission Pub Sch,45
Kansas City,43
Blue Valley,39
Topeka Public Schools,27
Lawrence,18
Garden City,18
Geary County Schools,15
Manhattan-Ogden,14
Derby,13
De Soto,13
Salina,13
Goddard,12
Maize,12
Dodge City,11
Andover,11
Spring Hill,11
Gardner Edgerton,11
Hutchinson Public Schools,10
Haysville,9
Auburn-Washburn,9
Newton,8
Leavenworth,8
Arkansas City,8
Emporia,8
Turner-Kansas City,8
Liberal,8
Great Bend,7
Valley Center Pub Sch,7
Basehor-Linwood,7
Seaman,7
Buhler,7
Wellington,7
Labette County,7
Kingman - Norwich,7
Hays,7
Ottawa,6
Winfield,6
Renwick,6
Chapman,6
Abilene,6
Shawnee Heights,6
Pittsburg,6
El Dorado,6
McPherson,6
Clay County,6
Circle,6
Haven Public Schools,5
Augusta,5
Nickerson,5
Parsons,5
Goodland,5
Chetopa-St. Paul,5
Holcomb,5
Wamego,5
Ulysses,5
Prairie Hills,5
Louisburg,5
Osawatomie,5
Independence,5
Bonner Springs,5
Riverside,5
Elkhart,5
Pratt,4
Holton,4
Baldwin City,4
Twin Valley,4
Rock Creek,4
Coffeyville,4
Paola,4
Rural Vista,4
Kaw Valley,4
Udall,4
Lyons,4
Smoky Valley,4
Lebo-Waverly,4
Russell County,4
Vermillion,4
Southern Cloud,4
Scott County,4
Mulvane,4
West Franklin,4
Southern Lyon County,4
Galena,4
Columbus,4
Prairie View,4
Humboldt,4
Iola,4
Lansing,4
Baxter Springs,4
Fort Leavenworth,4
Rose Hill Public Schools,4
Flinthills,4
Hugoton Public Schools,4
Fort Scott,4
Hoisington,4
Barnes,4
Central Plains,4
Fredonia,4
Chaparral Schools,4
Atchison Public Schools,4
Garnett,4
Piper-Kansas City,4
Jefferson West,4
Eudora,4
Tonganoxie,3
Caney Valley,3
Sublette,3
Neodesha,3
Ellinwood Public Schools,3
Wabaunsee,3
Royal Valley,3
Hesston,3
McLouth,3
Colby Public Schools,3
Oxford,3
Conway Springs,3
Caldwell,3
Halstead,3
Belle Plaine,3
South Brown County,3
Hiawatha,3
Golden Plains,3
Douglass Public Schools,3
Remington-Whitewater,3
Deerfield,3
Lakin,3
Riverton,3
Cherokee,3
Ashland,3
Clearwater,3
Cheney,3
Clifton-Clyde,3
Oswego,3
Concordia,3
Burlington,3
LeRoy-Gridley,3
Otis-Bison,3
LaCrosse,3
Easton,3
Palco,3
Comanche County,3
Pike Valley,3
Pretty Prairie,3
Marmaton Valley,3
Northeast,3
Frontenac Public Schools,3
Girard,3
Herington,3
Oakley,3
Onaga-Havensville-Wheaton,3
Phillipsburg,3
Wellsville,3
Thunder Ridge Schools,3
Ft Larned,3
Osage City,3
Marais Des Cygnes Valley,3
Marion-Florence,3
Santa Fe Trail,3
Norton Community Schools,3
Valley Heights,3
Northern Valley,3
Western Plains,3
Erie-Galesburg,3
Chanute Public Schools,3
Ellsworth,3
Perry Public Schools,3
Moundridge,3
Little River,3
Morris County,3
Cherryvale,3
Kismet-Plains,3
Waconda,3
Osborne County,2
Woodson,2
Beloit,2
Elk Valley,2
Ellis,2
Meade,2
School for Blind,2
Kinsley-Offerle,2
Fowler,2
Victoria,2
Rolla,2
Nemaha Central,2
Inman,2
Canton-Galva,2
Marysville,2
Ness City,2
Bucklin,2
Spearville,2
Burlingame Public School,2
Peabody-Burns,2
Lyndon,2
Centre,2
Durham-Hillsboro-Lehigh,2
Paradise,2
Satanta,2
Troy Public Schools,2
North Ottawa County,2
Goessel,2
Pawnee Heights,2
Central Heights,2
Logan,2
North Lyon County,2
Doniphan West Schools,2
Triplains,2
Solomon,2
Pleasanton,2
Oberlin,2
Jayhawk,2
Skyline Schools,2
Rawlins County,2
Wheatland,2
Sylvan Grove,2
Dexter,2
Central,2
Crest,2
Grinnell Public Schools,2
Republic County,2
Quinter Public Schools,2
Chase-Raymond,2
Graham County,2
Sterling,2
Riley County,2
Cimarron-Ensign,2
Plainville,2
Stockton,2
Copeland,2
Healy Public Schools,2
Dighton,2
Ell-Saline,2
Southeast Of Saline,2
Lincoln,2
Ingalls,2
Montezuma,2
Minneola,2
Greeley County Schools,2
Atchison Co Comm Schools,2
Kiowa County,2
St Francis Comm Sch,2
Cheylin,2
Eureka,2
Cunningham,2
Chautauqua Co Community,2
Cedar Vale,2
Chase County,2
School for Deaf,2
Silver Lake,2
Bluestem,2
Hamilton,2
South Barber,2
Hoxie Community Schools,2
Madison-Virgil,2
Syracuse,2
Smith Center,2
Macksville,2
St John-Hudson,2
Stafford,2
Stanton County,2
Attica,2
Moscow Public Schools,2
Argonia Public Schools,2
Burrton,2
Rock Hills,2
Valley Falls,2
Oskaloosa Public Schools,2
South Haven,2
Uniontown,2
Brewster,2
Jefferson County North,2
Trego County,2
North Jackson,2
Mission Valley,2
Wallace County Schools,2
Weskan,2
Sedgwick Public Schools,2
Washington Co. Schools,2
Leoti,2
Altoona-Midway,2
Barber County North,2
Hodgeman County,2
West Elk,2
Department of Corrections,1
Haviland,1
St. Hosp. Training Center Parsons,1
Fairfield,1
Lewis,1
