ZIP,Num_of_Institutions
66062,29
66061,26
67846,18
67401,14
66106,13
67052,12
66102,11
66502,11
67801,11
67501,10
67037,10
67217,10
66030,10
67114,9
66104,9
66109,9
66441,9
67212,9
66801,8
67005,8
67002,8
67101,8
67905,8
66083,8
66048,8
67203,7
67213,7
66209,7
67147,7
67042,7
67211,7
67530,7
67214,7
66604,7
66213,7
67152,7
66085,7
67601,7
67357,7
66049,6
67060,6
67410,6
66044,6
66007,6
66762,6
67156,6
66067,6
66226,6
67204,6
67216,6
67124,6
66436,6
67460,6
67218,5
67220,5
66223,5
66221,5
67010,5
67502,5
66204,5
67207,5
67880,5
66207,5
66216,5
66547,5
66605,5
67851,5
66614,5
66101,5
67301,5
66064,5
66053,5
67431,5
66103,4
67133,4
67950,4
67068,4
66749,4
66012,4
67432,4
66736,4
66208,4
66006,4
66025,4
66027,4
66046,4
66043,4
66214,4
66748,4
66203,4
67951,4
67735,4
66202,4
67456,4
66617,4
66227,4
66002,4
66739,4
66725,4
66542,4
67205,4
66713,4
66018,4
66071,4
67337,4
67522,4
67146,4
67543,4
67544,4
67554,4
66701,4
66442,4
67665,4
67208,4
67871,4
67110,4
67330,3
67118,3
67219,3
67026,3
67025,3
67226,3
67039,3
66434,3
67879,3
67565,3
67548,3
66092,3
67570,3
67003,3
67230,3
66076,3
67526,3
66535,3
67062,3
66521,3
67661,3
67550,3
67877,3
66523,3
67654,3
66771,3
66720,3
66411,3
66054,3
66512,3
66534,3
67449,3
66712,3
67335,3
67333,3
67206,3
67210,3
66763,3
66606,3
67107,3
66618,3
66224,3
66743,3
66219,3
66619,3
66215,3
66612,3
67013,3
66205,3
66861,3
67022,3
66770,3
67031,3
66839,3
67748,3
66040,3
66901,3
66212,3
66086,3
67119,3
67701,3
66020,3
66090,3
66757,3
66112,3
67831,3
67838,3
67860,3
67356,3
66755,3
67132,3
67954,2
66439,2
67054,2
66415,2
67336,2
66015,2
66024,2
67035,2
67756,2
67839,2
67850,2
67731,2
67865,2
66032,2
67487,2
66111,2
66783,2
66087,2
67455,2
66968,2
67445,2
66056,2
66953,2
66075,2
67466,2
67764,2
66945,2
66852,2
66937,2
67762,2
67758,2
66865,2
67053,2
67063,2
66859,2
66423,2
66866,2
66403,2
66427,2
66508,2
66401,2
67672,2
67753,2
67546,2
67732,2
66856,2
66206,2
67140,2
67844,2
67864,2
67749,2
66871,2
66047,2
66956,2
67420,2
67004,2
67952,2
67855,2
66088,2
66073,2
67361,2
66846,2
66872,2
67451,2
66066,2
67480,2
67578,2
66538,2
67576,2
66733,2
67557,2
66440,2
66967,2
67560,2
67572,2
67622,2
66951,2
67017,2
66414,2
66451,2
66510,2
67854,2
67740,2
67349,2
67352,2
67651,2
67473,2
67422,2
67467,2
67484,2
67870,2
67574,2
67637,2
67646,2
66608,2
67135,2
67024,2
66611,2
67127,2
67056,2
66536,2
67671,2
66023,2
67439,2
67730,2
67020,2
67070,2
66616,2
67009,2
66609,2
67561,2
67878,2
66539,2
66533,2
66935,2
67104,2
66966,2
67524,2
67457,2
66860,2
67579,2
66503,2
67859,2
66554,2
66531,2
67525,2
67657,2
67663,2
67669,2
66853,2
67045,2
66724,2
67867,2
67834,2
67448,2
67154,2
67853,2
67001,2
67144,2
67837,2
67876,2
67835,2
67019,2
67030,2
67642,2
67050,2
67752,2
66080,2
67074,2
67738,2
67737,2
66779,2
67038,2
66413,2
67059,1
66105,1
66641,1
67209,1
66424,1
66514,1
66095,1
67123,1
67016,1
67425,1
67648,1
67202,1
67632,1
67490,1
67215,1
67332,1
66939,1
66402,1
66409,1
67585,1
67505,1
67454,1
67583,1
67450,1
67228,1
67058,1
66845,1
66549,1
66869,1
66520,1
66610,1
67647,1
67621,1
67437,1
66607,1
66528,1
66615,1
66546,1
66524,1
67757,1
67563,1
66735,1
67029,1
67516,1
66740,1
66509,1
66060,1
66097,1
67552,1
67485,1
67430,1
67547,1
66050,1
66021,1
67869,1
67491,1
66093,1
66220,1
67441,1
67443,1
67428,1
66548,1
66834,1
66857,1
66526,1
66864,1
66854,1
66835,1
66063,1
66072,1
67481,1
67861,1
66710,1
66717,1
66938,1
66035,1
66781,1
66210,1
66033,1
66013,1
67354,1
67342,1
66017,1
66115,1
66517,1
66833,1
66842,1
