School_Name,District,College_Name,College_Type,County_Name,County_Population,City,City_Population,ZIP,Zip_Population,State
Humboldt Elementary School,Humboldt,DNE,-1,Allen County,12491,Humboldt,1956,66748,2864,KS
Humboldt High School,Humboldt,DNE,-1,Allen County,12491,Humboldt,1956,66748,2864,KS
Humboldt Middle School,Humboldt,DNE,-1,Allen County,12491,Humboldt,1956,66748,2864,KS
Humboldt Virtual Education,Humboldt,DNE,-1,Allen County,12491,Humboldt,1956,66748,2864,KS
DNE,DNE,Allen County Community College,2,Allen County,12491,Iola,5368,DNE,-1,KS
Iola Elementary School,Iola,DNE,-1,Allen County,12491,Iola,5368,66749,7452,KS
Iola High School Virtual,Iola,DNE,-1,Allen County,12491,Iola,5368,66749,7452,KS
Iola Middle School,Iola,DNE,-1,Allen County,12491,Iola,5368,66749,7452,KS
Iola Sr High,Iola,DNE,-1,Allen County,12491,Iola,5368,66749,7452,KS
Marmaton Valley Elem,Marmaton Valley,DNE,-1,Allen County,12491,Moran,455,66755,825,KS
Marmaton Valley High,Marmaton Valley,DNE,-1,Allen County,12491,Moran,455,66755,825,KS
Marmaton Valley Virtual School,Marmaton Valley,DNE,-1,Allen County,12491,Moran,455,66755,825,KS
Crest Elementary,Crest,DNE,-1,Anderson County,7819,Colony,310,66015,650,KS
Crest High,Crest,DNE,-1,Anderson County,7819,Colony,310,66015,650,KS
Anderson County Jr/Sr High School,Garnett,DNE,-1,Anderson County,7819,Garnett,3200,66032,5133,KS
Garnett Elementary School,Garnett,DNE,-1,Anderson County,7819,Garnett,3200,66032,5133,KS
Greeley Elem,Garnett,DNE,-1,Anderson County,7819,Greeley,303,66033,547,KS
Westphalia,Garnett,DNE,-1,Anderson County,7819,Westphalia,158,66093,664,KS
Atchison Elementary School,Atchison Public Schools,DNE,-1,Atchison County,16211,Atchison,10795,66002,13197,KS
Atchison High School,Atchison Public Schools,DNE,-1,Atchison County,16211,Atchison,10795,66002,13197,KS
Atchison Middle School,Atchison Public Schools,DNE,-1,Atchison County,16211,Atchison,10795,66002,13197,KS
Central School,Atchison Public Schools,DNE,-1,Atchison County,16211,Atchison,10795,66002,13197,KS
DNE,DNE,Benedictine College,1,Atchison County,16211,Atchison,10795,DNE,-1,KS
