County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Allen County,Humboldt,66748,12491,1956,2864,1,1,1,1,0,0,0,0
Allen County,Iola,66749,12491,5368,7452,1,1,1,1,0,0,1,0
Allen County,Iola,DNE,12491,5368,-1,0,0,0,0,1,0,1,0
Allen County,Moran,66755,12491,455,825,1,0,1,1,0,0,0,0
Anderson County,Colony,66015,7819,310,650,1,0,1,0,0,0,0,0
Anderson County,Garnett,66032,7819,3200,5133,1,0,1,0,0,0,0,0
Anderson County,Greeley,66033,7819,303,547,1,0,0,0,0,0,0,0
Anderson County,Westphalia,66093,7819,158,664,0,0,0,0,1,0,0,0
Atchison County,Atchison,66002,16211,10795,13197,1,1,1,0,1,1,0,0
Atchison County,Atchison,DNE,16211,10795,-1,0,0,0,0,1,1,0,0
Atchison County,Effingham,66023,16211,644,954,1,0,1,0,0,0,0,0
Barber County,Kiowa,67070,4153,780,890,0,0,0,0,2,0,0,0
Barber County,Medicine Lodge,67104,4153,1518,2087,1,0,1,0,0,0,0,0
Barton County,Claflin,67525,25275,434,816,0,0,1,0,1,0,0,0
Barton County,Ellinwood,67526,25275,2117,2569,1,1,1,0,0,0,0,0
Barton County,Great Bend,67530,25275,14596,17979,5,1,1,0,0,0,1,0
Barton County,Great Bend,DNE,25275,14596,-1,0,0,0,0,1,0,1,0
Barton County,Hoisington,67544,25275,2660,2875,2,1,1,0,0,0,0,0
Bourbon County,Fort Scott,66701,14384,7551,11075,2,1,1,0,0,0,1,0
Bourbon County,Fort Scott,DNE,14384,7551,-1,0,0,0,0,1,0,1,0
Bourbon County,Uniontown,66779,14384,492,955,1,0,1,0,0,0,0,0
Brown County,Everest,66424,9415,387,531,0,1,0,0,0,0,0,0
Brown County,Hiawatha,66434,9415,3223,4738,1,1,1,0,0,0,0,0
Brown County,Horton,66439,9415,1708,2585,1,0,1,0,0,0,0,0
Butler County,Andover,67002,67916,15508,16753,3,2,2,1,0,0,0,2
Butler County,Andover,DNE,67916,15508,-1,0,0,0,0,1,0,0,2
Butler County,Augusta,67010,67916,9252,13576,3,1,1,0,0,0,0,0
Butler County,Benton,67017,67916,896,2058,1,1,0,0,0,0,0,0
Butler County,Cassoday,66842,67916,129,432,1,0,0,0,0,0,0,0
Butler County,Douglass,67039,67916,1523,2936,1,1,1,0,0,0,0,0
Butler County,El Dorado,67042,67916,12882,17486,4,1,1,1,0,0,1,0
Butler County,El Dorado,DNE,67916,12882,-1,0,0,0,0,1,0,1,0
Butler County,Leon,67074,67916,519,1309,1,0,1,0,0,0,0,0
