school_name,course_count,percentage
University of Kansas,19,10.86
Kansas State University,14,8.0
Wichita State University,14,8.0
Butler Community College,9,5.14
Johnson County Community College,8,4.57
MidAmerica Nazarene University,7,4.0
Dodge City Community College,5,2.86
Kansas Wesleyan University,5,2.86
Labette Community College,4,2.29
Kansas City Kansas Community College,4,2.29
Washburn University,4,2.29
Southwestern College,4,2.29
Central Christian College of Kansas,4,2.29
Newman University,3,1.71
Tabor College,3,1.71
Fort Hays State University,2,1.14
Cowley County Community College,2,1.14
Seward County Community College,2,1.14
University of Saint Mary,2,1.14
Emporia State University,2,1.14
Pittsburg State University,2,1.14
Baker University,1,0.57
Mitsu Sato Hair Academy,1,0.57
Galen Health Institutes-Wichita,1,0.57
Garden City Community College,1,0.57
Haskell Indian Nations University,1,0.57
Hays Academy of Hair Design,1,0.57
Hays Academy of Hair Design - Salina Campus,1,0.57
Heartland Welding Academy,1,0.57
Hesston College,1,0.57
Highland Community College,1,0.57
Hutchinson Community College,1,0.57
Independence Community College,1,0.57
Kansas Christian College,1,0.57
Kansas Health Science Center,1,0.57
Manhattan Area Technical College,1,0.57
Manhattan Christian College,1,0.57
Midwest Barber College,1,0.57
Allen County Community College,1,0.57
Neosho County Community College,1,0.57
North Central Kansas Technical College,1,0.57
Northwest Kansas Technical College,1,0.57
Old Town Barber College-Wichita,1,0.57
Ottawa University-Kansas City,1,0.57
Ottawa University-Online,1,0.57
Ottawa University-Ottawa,1,0.57
Paul Mitchell the School-Overland Park,1,0.57
Paul Mitchell the School-Wichita,1,0.57
Pratt Community College,1,0.57
Rasmussen University-Kansas,1,0.57
Saint Paul School of Theology,1,0.57
Salina Area Technical College,1,0.57
Sami Halaseh Institute,1,0.57
Sterling College,1,0.57
Washburn Institute of Technology,1,0.57
WellSpring School of Allied Health-Lawrence,1,0.57
WellSpring School of Allied Health-Wichita,1,0.57
Wichita State University-Campus of Applied Sciences and Technology,1,0.57
Wichita Technical Institute,1,0.57
Z Hair Academy,1,0.57
Fort Scott Community College,1,0.57
Flint Hills Technical College,1,0.57
Eric Fisher Academy,1,0.57
Donnelly College,1,0.57
Benedictine College,1,0.57
Crave Beauty Academy,1,0.57
Colby Community College,1,0.57
McPherson College,1,0.57
Coffeyville Community College,1,0.57
Cloud County Community College,1,0.57
Cleveland University-Kansas City,1,0.57
Bethel College-North Newton,1,0.57
Bethany College,1,0.57
Bellus Academy,1,0.57
Barton County Community College,1,0.57
Barclay College,1,0.57
Friends University,1,0.57
