dept_name,course_count
Continuing Education,15
Engineering,14
Business,12
College of Liberal Arts & Sciences,12
Engineering Technology,10
Career & Technical Education,9
Computer Science,5
Math Physics and Computer Studies,5
Electrical Engineering and Computer Science,4
Professional Studies,4
School of Business & Technology,3
Science & Mathematics,3
Computer Information Sciences,3
College of Business,2
Liberal Arts and Sciences,2
Computer Information Systems,2
K-State Online,2
School of Business & Technology - Computer Science,1
School of Business & Technology - Information Systems,1
Data Science,1
Biostatistics & Data Science,1
Mathematics & Information Technology,1
Arts & Sciences,1
Informatics / Information Systems,1
