course_name,frequency
Artificial Intelligence,6
Machine Learning,5
Introduction to Artificial Intelligence,4
Introduction to Data Science,3
Data I: Dealing with Data,3
Data II: Foundations of Data Science,3
Python for AI: Create AI Apps with Flask & OpenAI,3
Problems (Artificial Intelligence/Machine Learning),2
Computer Vision,2
Perspectives on Data Science,2
Data Science,2
Data III: Data Management,2
Data IV: Introduction to Machine and Statistical Learning,2
AI for Business Course: ChatGPT & Copilot,2
Data Science & Artificial Intelligence,2
Python for Machine Learning & Data Science,2
Programming Techniques for Data Science,1
Data Science Foundations,1
Applied Machine Learning 1,1
Applied Machine Learning 2,1
Machine Learning Operations,1
Legal and Ethical Issues of Artificial Intelligence,1
Current and Advanced Topics in AI,1
Data Science I,1
Data Science II,1
AI and Machine Learning,1
Data Science Practicum,1
Autonomous Systems Architecture Studio,1
Advanced Cybernetic Systems Development,1
Topics in Data Science & Information Systems,1
Introduction to Artificial Intelligence and Machine Learning,1
Advanced Data Science,1
Capstone Project in Data Science,1
Neural Networks and Deep Learning,1
Advanced Topics in Machine Learning,1
Introduction to Intelligent Robotics,1
Image Analysis and Computer Vision,1
Artificial Intelligence for Robotics,1
Deep Learning,1
Neural Networks and Machine Learning,1
Reinforcement Learning,1
Generative AI Cybersecurity Awareness Training,1
Activate AI for Event Planning Excellence,1
AI Enhanced Social Media Strategies,1
Python Programming with Data Science,1
Python with Machine Learning,1
Ethics in Artificial Intelligence (AI),1
Introduction to Reinforcement Learning,1
Artificial Intelligence in Healthcare,1
AI Automated Logical Reasoning,1
Artificial Intelligence Programming,1
Data Science with Beginning Python Programming,1
Applied Data Science with Python,1
Topics of Artificial Intelligence,1
Prompt Writing with Artificial Intelligence,1
Artificial Intelligence Fundamentals,1
Role of Data Science,1
Emerging Trends in Data Science,1
Introduction to Generative AI,1
Perspectives of Data Science,1
Machine Learning & Deep Learning,1
Computational Data Science,1
Philosophy of Computation AI and Robots,1
Introduction to Machine Learning,1
AI Fundamentals: Machines Minds and Society,1
AI Methods: From Concepts to Applications,1
AI Ethics,1
Principles of Artificial Intelligence,1
Machine Learning and Pattern Recognition,1
Fundamentals of Machine Learning,1
Getting Started with AI,1
Generative AI (GenAI): Getting the Most from Your Tools,1
Prompt Engineering with AI: Text and Image Generation,1
Data Analytics Course,1
Python for Machine Learning & Data Science Course,1
Artificial Intelligence and Machine Learning Suite,1
AI for Students: Ensuring Appropriate & Effective Use,1
AI for Teachers: Increase Productivity & Improve Instruction,1
Survey of Machine Learning and Autonomous Systems,1
Introduction to Automata and Cybernetic Systems Theory,1
Data Structures for Machine Learning,1
Unsupervised Learning in Autonomous Systems,1
Supervised Learning in Autonomous Systems,1
Reinforcement Learning in Autonomous Systems,1
Artificial Intelligence Studio,1
Autonomous Systems Senior Capstone,1
Essentials of AI in Business,1
AI Ethics and Policy in Business,1
Introduction to the Language of AI,1
Generative AI for Business Leadership,1
Generative AI for Business Analytics,1
Generative AI for Advanced Applications and Future Trends,1
