school_name,degree_name,dept_name,course_code,course_name,description,level,modality,course_url,
Allen County Community College,-,-,-,-,-,-,-,-,
Baker University,-,-,-,-,-,-,-,-,
Barclay College,-,-,-,-,-,-,-,-,
Barton County Community College,-,-,-,-,-,-,-,-,
Bellus Academy,-,-,-,-,-,-,-,-,
Benedictine College,Bachelor in Computer Science,Computer Science,CSCI-3800,Artificial Intelligence,"Modeling and implementing intelligent behavior using computers, including search algorithms, reasoning, heuristics, game trees, knowledge representation, and machine learning.",Undergraduate,In-Person,https://coursecatalog.benedictine.edu/course-descriptions/csci/,
Bethany College ,-,-,-,-,-,-,-,-,
Bethel College-North Newton,-,-,-,-,-,-,-,-,
Butler Community College,Software Development / STEM Curriculum,Career & Technical Education - STEM (Software Development),SD 203,Data Science,"This course will enable the student to gain a comprehensive understanding of data science, a multidisciplinary field that combines statistical analysis, machine learning, and domain expertise to extract meaningful insights from data. The student will engage in hands-on activities, projects, and theoretical discussions to gain proficiency in data manipulation, analysis, and interpretation.",Undergraduate,"In-Person, Online",https://documents.butlercc.edu/outline/STEM/SD_Software%20Development/022323%20New%20Div%20Title%20FA23/SD203NFoutline202480.pdf,
Central Christian College of Kansas,Bachelor of Science in Business (Management) - Data Science/AI Concentration,Business,DSM I,Data Science I,"Introduction to data science using Python, SQL, visualization, and predictive modeling.",Undergraduate,"In-Person, Online",https://www.centralchristian.edu/datascience/,
Central Christian College of Kansas,Bachelor of Science in Business (Management) - Data Science/AI Concentration,Business,DSM II,Data Science II,"In-depth coverage of machine learning, NLP, and time series in Python.",Undergraduate,"In-Person, Online",https://www.centralchristian.edu/datascience/,
Central Christian College of Kansas,Bachelor of Science in Business (Management) - Data Science/AI Concentration,Business,DSM III,AI and Machine Learning,"Technical AI methods including model production, LLM adaptation, and business AI use cases.",Undergraduate,"In-Person, Online",https://www.centralchristian.edu/datascience/,
Central Christian College of Kansas,Bachelor of Science in Business (Management) - Data Science/AI Concentration,Business,DSM IV,Data Science Practicum,"Capstone project covering end-to-end analytics workflow, job prep, and stakeholder communication.",Undergraduate,"In-Person, Online",https://www.centralchristian.edu/datascience/,
Cleveland University-Kansas City,-,-,-,-,-,-,-,-,
Cloud County Community College,-,-,-,-,-,-,-,-,
Coffeyville Community College,-,-,-,-,-,-,-,-,
Colby Community College,-,-,-,-,-,-,-,-,
Cowley County Community College,-,-,-,-,-,-,-,-,
Crave Beauty Academy,-,-,-,-,-,-,-,-,
Dodge City Community College,-,-,-,-,-,-,-,-,
Donnelly College,-,-,-,-,-,-,-,-,
Emporia State University,Bachelor of Science in Computer Science - Data Science Concentration,School of Business & Technology - Computer Science,CS 523,Artificial Intelligence,"Principles and applications for intelligent systems: agents, search, planning, ethics, NLP, and computer vision.",Undergraduate,"In-Person, Online",https://www.emporia.edu/documents/3545/2024_2025_ESU_catalog_secured_updated__5.23.pdf,
