school_name,degree_name,dept_name,course_code,course_name,description,level,modality,course_url
Baker University,Bachelor of Science in Computer Science,"Department of Mathematics, Computer Science & Physics",CS 325,Introduction to Game Design and Development,"Introduction to game programming applying C++ programming with AI and machine learning paradigms, including image processing and object-oriented approach to programming",Undergraduate,In-person,https://www.bakeru.edu/area-of-study/computer-science/
Baker University,Bachelor of Science in Computer Science,"Department of Mathematics, Computer Science & Physics",CS 425,Advanced Game Design and Development,"Advanced game design topics including artificial intelligence using steering algorithms and motivation engines, 3D techniques and radiosity lightning",Undergraduate,In-person,https://www.bakeru.edu/area-of-study/computer-science/
Kansas State University,Master of Science in Data Analytics,Department of Statistics,STAT 890,Advanced Data Analytics Methods,Advanced methods for analyzing complex data sets including machine learning algorithms and statistical modeling techniques,Graduate,Online,https://online.k-state.edu/programs/data-analytics-masters/
Kansas State University,Bachelor of Science in Machine Learning and Autonomous Systems,Department of Computer Science,CS 685,Machine Learning Fundamentals,"Introduction to machine learning algorithms and their applications in autonomous systems, covering supervised and unsupervised learning",Undergraduate,Online,https://online.k-state.edu/programs/machine-learning-and-autonomous-systems-bachelors/
Kansas State University,Master of Science in Computer Science,Department of Computer Science,CS 730,Artificial Intelligence,"Advanced topics in artificial intelligence including knowledge representation, reasoning, planning, and machine learning applications",Graduate,In-person,https://online.k-state.edu/programs/computer-science-masters/
Kansas State University,Graduate Certificate in Machine Learning and Autonomous Systems,Department of Computer Science,CS 640,Autonomous Systems Design,Design and development of machine learning frameworks for autonomous systems including robotics and intelligent control systems,Graduate,In-person,https://www.salina.k-state.edu/academics/degree-options/mlas-certificate/
Kansas State University,Professional Certificate in Applied Data Science,Department of Statistics,STAT 750,Applied Data Science Methods,"Practical application of data science techniques using open-source libraries including Python, R, and machine learning frameworks",Professional,Online,https://www.salina.k-state.edu/professional-education/applied-data-science-machine-learning/
Wichita State University,Master of Science in Data Science,School of Computing,CS 765,Statistical Machine Learning,"Advanced statistical methods for machine learning including regression, classification, clustering, and deep learning techniques",Graduate,In-person,https://www.wichita.edu/academics/majors/data_science_ms.php
Wichita State University,Graduate Certificate in Computational Data Science,School of Computing,CS 720,Computational Data Science,Fundamental principles and applications of computational data science including big data processing and distributed computing,Graduate,In-person,https://www.wichita.edu/academics/majors/computational_data_science_certificate_graduate.php
Wichita State University,Bachelor of Science in Computer Science,School of Computing,CS 580,Introduction to Data Science,"Fundamentals of data science including statistical analysis, machine learning, and data visualization using modern tools and techniques",Undergraduate,In-person,https://catalog.wichita.edu/graduate/courses/cs/
Wichita State University,Accelerated Bachelor's to Master's in Data Science,School of Computing,CS 680,Data Mining and Analytics,"Methods for extracting knowledge from large datasets using machine learning algorithms, pattern recognition, and predictive modeling",Undergraduate/Graduate,In-person,https://www.wichita.edu/academics/majors/data_science_dual_accelerated_bachelors_to_masters.php
University of Kansas,Bachelor of Science in Computer Science,Department of Electrical Engineering and Computer Science,EECS 645,Introduction to Machine Learning,"Introduction to machine learning algorithms and their theoretical foundations including supervised learning, unsupervised learning, and neural networks",Undergraduate,In-person,https://catalog.ku.edu/engineering/electrical-engineering-computer-science/bs-computer-science/
University of Kansas,Graduate Research Program in Artificial Intelligence,School of Engineering,EECS 738,Machine Learning for Engineers,"Application of machine learning techniques to engineering problems including signal processing, robotics, and control systems",Graduate,In-person,https://engr.ku.edu/research-areas/artificial-intelligence
