school_name,COUNTYNM,CITY,latitude,longitude,undergrad_courses_school,graduate_courses_school,undergrad_programs_school,graduate_programs_school,impact_score
University of Kansas,Douglas County,Lawrence,38.958549,-95.247567,15,4,4,2,10.3
Kansas State University,Riley County,Manhattan,39.188648,-96.581077,8,6,1,3,9.0
Wichita State University,Sedgwick County,Wichita,37.718882,-97.292361,0,14,0,3,8.8
MidAmerica Nazarene University,Johnson County,Olathe,38.875244,-94.781526,6,1,1,1,3.8000000000000003
Fort Hays State University,Ellis County,Hays,38.872156,-99.342503,1,1,1,1,3.3000000000000003
Pittsburg State University,Crawford County,Pittsburg,37.392071,-94.702473,1,1,1,1,3.3000000000000003
Newman University,Sedgwick County,Wichita,37.672643,-97.37768,0,3,0,1,2.6
Kansas Wesleyan University,Saline County,Salina,38.813795,-97.607973,5,0,2,0,2.5
University of Saint Mary,Leavenworth County,Leavenworth,39.279396,-94.906743,0,2,0,1,2.4
Washburn University,Shawnee County,Topeka,39.033778,-95.702222,4,0,2,0,2.4
Emporia State University,Lyon County,Emporia,38.414784,-96.179021,2,0,2,0,2.2
Butler Community College,Butler County,El Dorado,37.806699,-96.882987,9,0,1,0,1.9
Central Christian College of Kansas,McPherson County,McPherson,38.357978,-97.668597,4,0,1,0,1.4
Southwestern College,Cowley County,Winfield,37.248608,-96.975405,4,0,1,0,1.4
Tabor College,Marion County,Hillsboro,38.34858,-97.199773,3,0,1,0,1.3
Seward County Community College,Seward County,Liberal,37.059807,-100.917695,2,0,1,0,1.2
Benedictine College,Atchison County,Atchison,39.573079,-95.113858,1,0,1,0,1.1
McPherson College,McPherson County,McPherson,38.371422,-97.642996,1,0,1,0,1.1
Dodge City Community College,Ford County,Dodge City,37.776891,-100.037481,5,0,0,0,0.5
Cowley County Community College,Cowley County,Arkansas City,37.061668,-97.043075,2,0,0,0,0.2
Johnson County Community College,Johnson County,Overland Park,38.924125,-94.727798,1,0,0,0,0.1
Allen County Community College,Allen County,Iola,37.938038,-95.396377,0,0,0,0,0.0
Baker University,Douglas County,Baldwin City,38.778712,-95.187346,0,0,0,0,0.0
Barclay College,Kiowa County,Haviland,37.62012,-99.105351,0,0,0,0,0.0
Barton County Community College,Barton County,Great Bend,38.403529,-98.731648,0,0,0,0,0.0
Bellus Academy,Riley County,Manhattan,39.191749,-96.60827,0,0,0,0,0.0
Bethany College,McPherson County,Lindsborg,38.580598,-97.67367,0,0,0,0,0.0
Bethel College-North Newton,Harvey County,North Newton,38.075169,-97.343256,0,0,0,0,0.0
Cleveland University-Kansas City,Johnson County,Overland Park,38.932019,-94.679076,0,0,0,0,0.0
Cloud County Community College,Cloud County,Concordia,39.554199,-97.664147,0,0,0,0,0.0
Coffeyville Community College,Montgomery County,Coffeyville,37.033814,-95.621374,0,0,0,0,0.0
Colby Community College,Thomas County,Colby,39.377601,-101.052744,0,0,0,0,0.0
