County_Name,County_Population,Total_Online_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score
Allen County,12491,0.0,0.80247398329819819,82.6,77.9,13.8,5014,0.0
Anderson County,7819,0.0,0.71334835687777787,72.1,70.6,22.8,3287,0.0
Atchison County,16211,0.0,0.8305635624151515,84,82.1,13.2,5876,0.0
Barber County,4153,0.0,0.7677626869,84.9,68.6,14,1806,0.0
Barton County,25275,0.0,0.81000694329212153,85.7,76.3,13.2,10219,0.0
Bourbon County,14384,0.0,0.82514018828484836,87.8,77.2,10.3,5770,0.0
Brown County,9415,0.0,0.82801456933888873,84.8,80.8,12.1,3719,0.0
Butler County,67916,0.0,0.83900994444009092,88.7,79.1,8.8,25025,0.0
Chase County,2579,0.0,0.78099147808333336,80.3,75.9,16.4,1145,0.0
Chautauqua County,3370,0.0,0.72526827281666684,83.5,61.6,13,1315,0.0
Cherokee County,19236,0.0,0.78383178278333332,84.3,72.4,12.5,7727,0.0
Cheyenne County,2628,0.0,0.71998941530000016,84.3,59.7,12.9,1186,0.0
Clark County,1987,0.0,0.79922946617333335,85.6,74.2,8.1,813,0.0
Clay County,8071,0.0,0.80996777199393966,84.7,77.3,12.8,3629,0.0
Cloud County,8973,0.0,0.7844634991666668,83.6,73.3,13.7,3670,0.0
Coffey County,8304,0.0,0.8325476604233335,86.4,80.1,10.6,3547,0.0
Comanche County,1685,0.0,0.80733255501111112,84.4,77.1,15.3,821,0.0
Cowley County,34487,0.2,0.78704814854916638,84,73.4,13.2,13339,0.1574096297098333
Crawford County,38963,0.0,0.81061042585666665,86,76.1,11.5,15897,0.0
Decatur County,2746,0.0,0.80593672123333338,88.1,73.1,9,1373,0.0
Dickinson County,18423,0.0,0.81224624653333366,89.8,72.7,8.4,7958,0.0
Doniphan County,7492,0.0,0.82542042859791653,87.9,77.2,10.8,2670,0.0
Douglas County,119547,0.0,0.827403023976768,91.5,73.9,3,49939,0.0
Edwards County,2817,0.0,0.79289410317777775,85.3,73.2,12.4,1187,0.0
Elk County,2464,0.0,0.76319478496666648,84.6,68.1,13.8,1076,0.0
Ellis County,28870,0.0,0.84285951414166638,92.3,76.3,6.2,12186,0.0
Ellsworth County,6366,0.0,0.79712602371999985,85.7,73.7,10.9,2329,0.0
Finney County,38001,0.0,0.81047339617931069,88.1,74.0,10.2,13198,0.0
Ford County,34133,0.5,0.824247233732143,87.6,77.2,10.5,11768,0.41212361686607152
Franklin County,25994,0.0,0.81112976853529417,83.9,78.4,13.2,10289,0.0
Geary County,35895,0.0,0.82250760783333343,93.8,70.7,4.4,13787,0.0
Gove County,2796,0.0,0.70093936800000012,80.2,60.0,18.4,1171,0.0
Graham County,2406,0.0,0.79069044833333324,87.4,70.8,11.6,1181,0.0
Grant County,7284,0.0,0.8364585257,94.3,73.0,4.4,2377,0.0
Gray County,5696,0.0,0.809230137825,86.5,75.4,12.5,2078,0.0
Greeley County,1296,0.0,0.827457061,92.4,73.1,5.2,524,0.0
Greenwood County,5956,0.0,0.78928491553333324,81.7,76.1,13.5,2604,0.0
Hamilton County,2485,0.0,0.81543726573333331,89.7,73.3,7,770,0.0
Harper County,5446,0.0,0.78658668972777779,81.8,75.5,13.1,2205,0.0
Harvey County,33823,0.0,0.83016102814745807,84.6,81.4,10.8,13478,0.0
Haskell County,3695,0.0,0.81601770773999993,89.2,74.0,8.5,1384,0.0
Hodgeman County,1676,0.0,0.76548914356666664,79.9,73.2,18.9,666,0.0
Jackson County,13277,0.0,0.83032971511666687,87.6,78.5,10.8,5100,0.0
Jefferson County,18391,0.0,0.81410611548444423,88.7,74.2,9.6,7390,0.0
Jewell County,2909,0.0,0.80502714043333323,81,80.0,16.6,1268,0.0
Johnson County,614764,3.9000000000000004,0.871683030843103,95.8,78.5,2.6,244777,3.399563820288102
Kearny County,3910,0.0,0.85741253888333313,91.7,79.8,3.6,1365,0.0
Kingman County,7284,0.0,0.8139220857,82.4,80.4,13.9,3088,0.0
Kiowa County,2422,0.0,0.79349577393333326,80.1,78.6,14.8,948,0.0
