County,Total_Program_Impact_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Total_Population
Sedgwick County,11.4,67675,0.14042855,0.052271102246641325,0.206613822,0.315854937,0.060629765,0.068424396,1.278839023,524810
Douglas County,10.3,68756,0.152042047,0.046807716598725381,0.308096397,0.520306827,0.08410258,0.094733989,1.223334315,119547
Riley County,9.0,59560,0.22035586,0.04692138013670652,0.241849114,0.479764309,0.072775587,0.088719355,1.204648443,71710
Johnson County,3.9000000000000004,107261,0.05334297,0.031597579833089959,0.388025324,0.568751386,0.108153586,0.168042731,1.168117344,614764
Ellis County,3.3000000000000003,59889,0.177341873,0.031612903225806455,0.236854867,0.395465849,0.039609957,0.066440555,1.214234875,28870
Crawford County,3.3000000000000003,50311,0.207983419,0.034564021995286721,0.192207992,0.319742123,0.028173312,0.046124898,1.364913981,38963
Saline County,2.5,63316,0.123432482,0.035936299504086049,0.197951711,0.2908644,0.038978446,0.03608042,1.373196836,53801
McPherson County,2.5,77701,0.090870653,0.020252853811218854,0.219980086,0.330854091,0.057379103,0.040340767,1.406818182,30130
Shawnee County,2.4,66043,0.12368945,0.041579876833906904,0.220357233,0.32334063,0.054687408,0.058100941,1.434228457,178315
Leavenworth County,2.4,86906,0.086405202,0.042845041943328686,0.24880899,0.366145174,0.05606783,0.074937909,1.294577554,82493
Lyon County,2.2,59078,0.151574613,0.024945770065075923,0.167708819,0.277143738,0.040864118,0.038932147,1.339469809,32145
Butler County,1.9,80375,0.09034422,0.031084776663628078,0.21585488,0.325705399,0.063630947,0.061372973,1.416420555,67916
Cowley County,1.5999999999999999,58263,0.138569207,0.049740997316357734,0.15991533,0.242566854,0.031722054,0.03822409,1.382394366,34487
Marion County,1.3,63438,0.100308922,0.030313351498637602,0.195676134,0.28767294,0.038285915,0.033017211,1.639885222,11795
Seward County,1.2,62269,0.129774938,0.042369772560528249,0.073983364,0.126621322,0.022888336,0.02604865,1.335959885,21640
Atchison County,1.1,62164,0.127765638,0.041508509856740539,0.140706927,0.229200161,0.025421564,0.047138477,1.466786355,16211
