County_Name,County_Population,County_Latitude,County_Longitude,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges,Four_Year_Colleges_With_DS_AI,Two_Year_Colleges_With_DS_AI,Less_Than_Two_Year_Colleges_With_DS_AI,Online_Impact_Score,Total_Program_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Has_Programs
Allen County,12491,37.8842285,-95.3009448,3,2,3,3,1,0,2,0,0,0,0,0.0,0.0,0.80247398329819819,82.6,77.9,13.8,5014,0.0,57618,0.131117574,0.068913982065758883,0.14562485,0.212723658,0.040663456,0.026573925,1.378773126,0
Anderson County,7819,38.2151139,-95.2920464,3,0,2,0,1,0,0,0,0,0,0,0.0,0.0,0.71334835687777787,72.1,70.6,22.8,3287,0.0,64925,0.109034268,0.040930754135127555,0.105256427,0.158086823,0.017246419,0.029815843,1.388059701,0
Atchison County,16211,39.5325441,-95.3133975,2,1,2,0,2,2,0,0,1,0,0,0.0,1.1,0.8305635624151515,84.0,82.1,13.2,5876,0.0,62164,0.127765638,0.041508509856740539,0.140706927,0.229200161,0.025421564,0.047138477,1.466786355,1
Barber County,4153,37.2229059,-98.685052,1,0,1,0,2,0,0,0,0,0,0,0.0,0.0,0.7677626869,84.9,68.6,14.0,1806,0.0,57615,0.176441597,0.02274837511606314,0.18444498,0.271246459,0.001425178,0.019477435,1.417177914,0
Barton County,25275,38.4812394,-98.7678374,8,3,4,0,2,0,2,0,0,0,0,0.0,0.0,0.81000694329212153,85.7,76.3,13.2,10219,0.0,56733,0.147380355,0.032796042132141719,0.147260138,0.216722953,0.020707862,0.044715783,1.354166667,0
Bourbon County,14384,37.8560997,-94.8509284,3,1,2,0,1,0,2,0,0,0,0,0.0,0.0,0.82514018828484836,87.8,77.2,10.3,5770,0.0,67555,0.11776889,0.038231949971574759,0.159482759,0.243111488,0.025417467,0.040933944,1.296266878,0
Brown County,9415,39.8259308,-95.5699047,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.82801456933888873,84.8,80.8,12.1,3719,0.0,58886,0.142093784,0.053676631027711107,0.125862985,0.183011583,0.034586119,0.035508416,1.390870185,0
Butler County,67916,37.7736487,-96.8388402,19,9,10,2,4,0,2,4,0,1,0,0.0,1.9,0.83900994444009092,88.7,79.1,8.8,25025,0.0,80375,0.09034422,0.031084776663628078,0.21585488,0.325705399,0.063630947,0.061372973,1.416420555,1
Chase County,2579,38.2994749,-96.5940289,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.78099147808333336,80.3,75.9,16.4,1145,0.0,54518,0.104963385,0.0074503311258278145,0.212485459,0.292735043,0.019182652,0.020016681,1.67804878,0
Chautauqua County,3370,37.1542592,-96.2453962,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.72526827281666684,83.5,61.6,13.0,1315,0.0,54592,0.168674699,0.062585969738651992,0.13115727,0.183478622,0.002934703,0.01027146,1.504273504,0
Cherokee County,19236,37.1693922,-94.8456975,9,2,4,1,0,0,0,0,0,0,0,0.0,0.0,0.78383178278333332,84.3,72.4,12.5,7727,0.0,58274,0.130570057,0.0356120826709062,0.139737991,0.201197605,0.020881416,0.025717112,1.451612903,0
Cheyenne County,2628,39.7899014,-101.7273171,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.71998941530000016,84.3,59.7,12.9,1186,0.0,55765,0.174131274,0.0178988326848249,0.152968037,0.216129032,0.035657686,0.05229794,1.497991968,0
Clark County,1987,37.2338311,-99.8138686,2,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.79922946617333335,85.6,74.2,8.1,813,0.0,65515,0.09447983,0.02063983488132095,0.216406643,0.309575234,0.010537408,0.055848261,1.492647059,0
Clay County,8071,39.3449643,-97.1688527,3,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.80996777199393966,84.7,77.3,12.8,3629,0.0,63136,0.129253428,0.011117136659436009,0.164911411,0.233549746,0.045791061,0.046339457,1.67201426,0
Cloud County,8973,39.4873286,-97.6413898,3,1,4,0,1,0,2,0,0,0,0,0.0,0.0,0.7844634991666668,83.6,73.3,13.7,3670,0.0,57333,0.101565258,0.042097998619737752,0.148445336,0.224016145,0.020893372,0.049231508,1.357758621,0
Coffey County,8304,38.2364502,-95.7291373,4,2,4,0,0,0,0,0,0,0,0,0.0,0.0,0.8325476604233335,86.4,80.1,10.6,3547,0.0,67377,0.095563974,0.059950859950859949,0.151372832,0.212187711,0.027443806,0.030318871,1.378424658,0
Comanche County,1685,37.1814417,-99.2512929,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.80733255501111112,84.4,77.1,15.3,821,0.0,49417,0.111797406,0.024361948955916472,0.143620178,0.191911182,0.001189061,0.033293698,1.461538462,0
