0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
National Center for Education Statistics,National Center for Education Statistics,National Center for Education Statistics,National Center for Education Statistics,National Center for Education Statistics,National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,
CCD public school data 2023-2024 school year,CCD public school data 2023-2024 school year,CCD public school data 2023-2024 school year,CCD public school data 2023-2024 school year,CCD public school data 2023-2024 school year,CCD public school data 2023-2024 school year,,,,,,,,,,,,,,,,,,,,
The file contains (1348) records based on your search.,The file contains (1348) records based on your search.,The file contains (1348) records based on your search.,The file contains (1348) records based on your search.,The file contains (1348) records based on your search.,The file contains (1348) records based on your search.,,,,,,,,,,,,,,,,,,,,
"NOTES:[ † ] indicates that the data are not applicable.[ – ] indicates that the data are missing.[ ‡ ] indicates that the data do not meet NCES data quality standards.SEARCH CRITERIA: State: ""Kansas"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""","NOTES:[ † ] indicates that the data are not applicable.[ – ] indicates that the data are missing.[ ‡ ] indicates that the data do not meet NCES data quality standards.SEARCH CRITERIA: State: ""Kansas"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""","NOTES:[ † ] indicates that the data are not applicable.[ – ] indicates that the data are missing.[ ‡ ] indicates that the data do not meet NCES data quality standards.SEARCH CRITERIA: State: ""Kansas"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""","NOTES:[ † ] indicates that the data are not applicable.[ – ] indicates that the data are missing.[ ‡ ] indicates that the data do not meet NCES data quality standards.SEARCH CRITERIA: State: ""Kansas"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""","NOTES:[ † ] indicates that the data are not applicable.[ – ] indicates that the data are missing.[ ‡ ] indicates that the data do not meet NCES data quality standards.SEARCH CRITERIA: State: ""Kansas"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""","NOTES:[ † ] indicates that the data are not applicable.[ – ] indicates that the data are missing.[ ‡ ] indicates that the data do not meet NCES data quality standards.SEARCH CRITERIA: State: ""Kansas"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd","NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd","NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd","NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd","NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd","NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified,Type,Status
200795002097,KS-D0500-8403,2007950,KS-D0500,12,12,500 Reach,Kansas City,Wyandotte County,7704 Parallel Parkway,Kansas City,KS,66612,,(913)287-1718,12,"City, Midsize",No,188.00000,–,†,†,†,–,Regular,Open
200639001170,KS-D0457-7120,2006390,KS-D0457,KG,06,Abe Hubert Elementary School,Garden City,Finney County,1205 A Street,Garden City,KS,67846,,(620)805-8400,33,"Town, Remote",No,307.00000,22.80000,13.4600000,252.00000,31.00000,–,Regular,Open
201251000367,KS-D0262-1980,2012510,KS-D0262,PK,03,Abilene Elem,Valley Center Pub Sch,Sedgwick County,522 N Abilene,Valley Center,KS,67147,,(316)755-7020,21,"Suburban, Large",No,252.00000,19.00000,13.2600000,110.00000,28.00000,–,Regular,Open
200318001063,KS-D0435-6476,2003180,KS-D0435,09,12,Abilene High School,Abilene,Dickinson County,1300 N Cedar,Abilene,KS,67410,,(785)263-1260,32,"Town, Distant",No,449.00000,30.40000,14.7700000,153.00000,38.00000,–,Regular,Open
200318001062,KS-D0435-6475,2003180,KS-D0435,06,08,Abilene Middle School,Abilene,Dickinson County,500 Northwest 14th,Abilene,KS,67410,,(785)263-1471,32,"Town, Distant",No,331.00000,24.60000,13.4600000,153.00000,30.00000,–,Regular,Open
200318002154,KS-D0435-6472,2003180,KS-D0435,07,12,Abilene Virtual School,Abilene,Dickinson County,213 North Broadway,Abilene,KS,67410,,(785)263-1922,32,"Town, Distant",No,17.00000,–,†,3.00000,0.00000,–,Regular,Open
200420002170,KS-D0313-3266,2004200,KS-D0313,09,12,Ad Astra Alternative Academy,Buhler,Reno County,406 W. 7th,Buhler,KS,67522,,(620)543-2258,42,"Rural, Distant",No,8.00000,0.50000,16.0000000,†,†,–,Regular,Open
200420002137,KS-D0313-3265,2004200,KS-D0313,KG,12,Ad Astra Virtual Academy,Buhler,Reno County,406 W. 7th,Buhler,KS,67522,,(620)543-2258,42,"Rural, Distant",No,182.00000,–,†,†,†,†,Regular,Open
200345001232,KS-D0470-7440,2003450,KS-D0470,PK,05,Adams Elem,Arkansas City,Cowley County,1201 N 10th,Arkansas City,KS,67005,,(620)441-2040,32,"Town, Distant",No,296.00000,17.95000,16.4900000,217.00000,29.00000,–,Regular,Open
201299000249,KS-D0259-1614,2012990,KS-D0259,PK,05,Adams Elem,Wichita,Sedgwick County,1002 N Oliver,Wichita,KS,67208,,(316)973-2650,11,"City, Large",No,376.00000,28.80000,13.0600000,348.00000,13.00000,–,Regular,Open
200795002094,KS-D0500-8402,2007950,KS-D0500,09,12,Alfred Fairfax Academy,Kansas City,Wyandotte County,2226 N 85th st,Kansas City,KS,66109,,(913)627-6700,12,"City, Midsize",No,72.00000,8.14000,8.8500000,53.00000,1.00000,–,Regular,Open
201299000251,KS-D0259-1618,2012990,KS-D0259,PK,05,Allen Elem,Wichita,Sedgwick County,1881 S Elpyco,Wichita,KS,67218,,(316)973-1750,11,"City, Large",No,450.00000,33.61000,13.3900000,380.00000,37.00000,–,Regular,Open
201299000326,KS-D0259-1804,2012990,KS-D0259,06,08,Allison Traditional Magnet Middle,Wichita,Sedgwick County,221 S Seneca,Wichita,KS,67213,,(316)973-4800,11,"City, Large",No,535.00000,34.66000,15.4400000,335.00000,52.00000,–,Regular,Open
200327000061,KS-D0212-0404,2003270,KS-D0212,PK,04,Almena Elem,Northern Valley,Norton County,PO Box 217,Almena,KS,67622,,(785)664-2446,43,"Rural, Remote",No,78.00000,6.33000,12.3200000,47.00000,3.00000,–,Regular,Open
200639001169,KS-D0457-7118,2006390,KS-D0457,KG,04,Alta Brown Elem,Garden City,Finney County,1110 East Pine,Garden City,KS,67846,,(620)805-7200,33,"Town, Remote",No,323.00000,23.20000,13.9200000,239.00000,43.00000,–,Regular,Open
200330001494,KS-D0506-8652,2003300,KS-D0506,PK,08,Altamont Elem,Labette County,Labette County,Box 306,Altamont,KS,67330,,(620)784-5511,42,"Rural, Distant",No,209.00000,12.20000,17.1300000,99.00000,34.00000,–,Regular,Open
200417001898,KS-D0387-5215,2004170,KS-D0387,PK,05,Altoona-Midway Elementary,Altoona-Midway,Wilson County,833 River Street,Altoona,KS,66710,,(620)568-5725,43,"Rural, Remote",No,67.00000,6.50000,10.3100000,47.00000,5.00000,–,Regular,Open
200417001872,KS-D0387-5223,2004170,KS-D0387,06,12,Altoona-Midway Middle/High School,Altoona-Midway,Wilson County,20704 US 75 Hwy,Buffalo,KS,66717,,(620)537-7711,42,"Rural, Distant",No,81.00000,9.70000,8.3500000,48.00000,5.00000,–,Regular,Open
200918001639,KS-D0383-5112,2009180,KS-D0383,KG,05,Amanda Arnold Elem,Manhattan-Ogden,Riley County,1435 Hudson,Manhattan,KS,66503,,(785)587-2020,13,"City, Small",No,419.00000,28.49000,14.7100000,89.00000,25.00000,–,Regular,Open
200654001551,KS-D0265-2033,2006540,KS-D0265,PK,04,Amelia Earhart Elementary School,Goddard,Sedgwick County,P.O. Box 319,Goddard,KS,67052,,(316)794-4080,41,"Rural, Fringe",No,496.00000,34.40000,14.4200000,118.00000,31.00000,–,Regular,Open
201108000386,KS-D0267-2062,2011080,KS-D0267,PK,08,Andale Elem-Middle,Renwick,Sedgwick County,500 W. Rush,Andale,KS,67001,,(316)444-2628,42,"Rural, Distant",No,435.00000,21.00000,20.7100000,39.00000,22.00000,–,Regular,Open
201108000387,KS-D0267-2064,2011080,KS-D0267,09,12,Andale High,Renwick,Sedgwick County,700 West Rush,Andale,KS,67001,,(316)444-2607,42,"Rural, Distant",No,387.00000,24.92000,15.5300000,35.00000,18.00000,–,Regular,Open
200645000206,KS-D0365-4612,2006450,KS-D0365,07,12,Anderson County Jr/Sr High School,Garnett,Anderson County,1100 W. Highway 31,Garnett,KS,66032,,(785)448-3115,43,"Rural, Remote",No,433.00000,33.40000,12.9600000,149.00000,40.00000,–,Regular,Open
201299001648,KS-D0259-1798,2012990,KS-D0259,PK,05,Anderson Elem,Wichita,Sedgwick County,2945 S Victoria,Wichita,KS,67216,,(316)973-1900,11,"City, Large",No,458.00000,34.81000,13.1600000,402.00000,27.00000,–,Regular,Open
200336001567,KS-D0385-5186,2003360,KS-D0385,09,12,Andover Central High School,Andover,Butler County,603 E. Central,Andover,KS,67002,,(316)218-4700,21,"Suburban, Large",No,853.00000,49.34000,17.2900000,142.00000,30.00000,–,Regular,Open
200336001564,KS-D0385-5185,2003360,KS-D0385,06,08,Andover Central Middle School,Andover,Butler County,903 E. Central,Andover,KS,67002,,(316)218-4710,21,"Suburban, Large",No,603.00000,39.47000,15.2800000,124.00000,24.00000,–,Regular,Open
200336002040,KS-D0385-5204,2003360,KS-D0385,KG,12,Andover eCademy,Andover,Butler County,1413 N. Main,Andover,KS,67002,,(316)218-4470,21,"Suburban, Large",No,3618.00000,28.20000,128.3000000,†,†,†,Regular,Open
200336000860,KS-D0385-5180,2003360,KS-D0385,09,12,Andover High,Andover,Butler County,1744 N Andover Rd,Andover,KS,67002,,(316)218-4600,21,"Suburban, Large",No,1009.00000,56.22000,17.9500000,174.00000,34.00000,–,Regular,Open
200336000859,KS-D0385-5179,2003360,KS-D0385,06,08,Andover Middle School,Andover,Butler County,1628 N Andover Rd,Andover,KS,67002,,(316)218-4610,21,"Suburban, Large",No,738.00000,45.29000,16.2900000,130.00000,30.00000,–,Regular,Open
200339000747,KS-D0361-4438,2003390,KS-D0361,PK,06,Anthony Elem,Chaparral Schools,Harper County,215 S Springfield,Anthony,KS,67003,,(620)842-3743,43,"Rural, Remote",No,212.00000,17.20000,12.3300000,120.00000,31.00000,–,Regular,Open
200843001997,KS-D0453-7029,2008430,KS-D0453,01,04,Anthony Elementary,Leavenworth,Leavenworth County,200 N 4th St,Leavenworth,KS,66048,,(913)684-1500,31,"Town, Fringe",No,294.00000,20.20000,14.5500000,202.00000,34.00000,–,Regular,Open
201164001518,KS-D0512-8776,2011640,KS-D0512,PK,06,Apache Elem,Shawnee Mission Pub Sch,Johnson County,8910 Goddard,Overland Park,KS,66214,,(913)993-1600,12,"City, Midsize",No,493.00000,37.20000,13.2500000,329.00000,41.00000,–,Regular,Open
200654002020,KS-D0265-2069,2006540,KS-D0265,PK,04,Apollo Elementary School,Goddard,Sedgwick County,P.O. Box 159,Goddard,KS,67052,,(316)794-4090,11,"City, Large",No,519.00000,34.10000,15.2200000,115.00000,25.00000,–,Regular,Open
201080001888,KS-D0287-2559,2010800,KS-D0287,PK,05,Appanoose Elementary School,West Franklin,Franklin County,600 Shawnee Road,Pomona,KS,66076,,(785)566-3386,42,"Rural, Distant",No,182.00000,14.50000,12.5500000,58.00000,11.00000,–,Regular,Open
201014001718,KS-D0233-9302,2010140,KS-D0233,PK,05,Arbor Creek Elementary,Olathe,Johnson County,16150 S Brougham Dr,Olathe,KS,66062,,(913)780-7300,21,"Suburban, Large",No,464.00000,27.40000,16.9300000,37.00000,6.00000,–,Regular,Open
200795001417,KS-D0500-8320,2007950,KS-D0500,06,08,Argentine Middle,Kansas City,Wyandotte County,2123 Ruby Avenue,Kansas City,KS,66106,,(913)627-6750,12,"City, Midsize",No,551.00000,35.00000,15.7400000,384.00000,34.00000,–,Regular,Open
200343000740,KS-D0359-4404,2003430,KS-D0359,PK,05,Argonia Elem,Argonia Public Schools,Sumner County,202 E. Allen St.,Argonia,KS,67004,,(620)435-6716,43,"Rural, Remote",No,65.00000,7.86000,8.2700000,30.00000,6.00000,–,Regular,Open
200343000742,KS-D0359-4406,2003430,KS-D0359,06,12,Argonia High,Argonia Public Schools,Sumner County,202 E. Allen St.,Argonia,KS,67004,,(620)435-6611,43,"Rural, Remote",No,72.00000,10.14000,7.1000000,22.00000,10.00000,–,Regular,Open
200345001241,KS-D0470-7456,2003450,KS-D0470,09,12,Arkansas City High,Arkansas City,Cowley County,1200 W Radio Lane,Arkansas City,KS,67005,,(620)441-2010,32,"Town, Distant",No,866.00000,54.00000,16.0400000,494.00000,65.00000,–,Regular,Open
200345001240,KS-D0470-7454,2003450,KS-D0470,06,08,Arkansas City Middle Sch,Arkansas City,Cowley County,400 E Kansas Ave,Arkansas City,KS,67005,,(620)441-2030,32,"Town, Distant",No,669.00000,38.75000,17.2600000,421.00000,45.00000,–,Regular,Open
200795001421,KS-D0500-8324,2007950,KS-D0500,06,08,Arrowhead Middle,Kansas City,Wyandotte County,1715 N 82nd Street,Kansas City,KS,66112,,(913)627-6600,12,"City, Midsize",No,428.00000,29.00000,14.7600000,280.00000,49.00000,–,Regular,Open
200351000084,KS-D0220-0552,2003510,KS-D0220,PK,05,Ashland Elem,Ashland,Clark County,P.O. Box 187,Ashland,KS,67831,,(620)635-2722,43,"Rural, Remote",No,96.00000,7.80000,12.3100000,24.00000,19.00000,–,Regular,Open
200351000086,KS-D0220-0554,2003510,KS-D0220,09,12,Ashland High,Ashland,Clark County,P.O. Box 187,Ashland,KS,67831,,(620)635-2814,43,"Rural, Remote",No,74.00000,4.77000,15.5100000,13.00000,13.00000,–,Regular,Open
200351001650,KS-D0220-0553,2003510,KS-D0220,06,08,Ashland Junior High School,Ashland,Clark County,P.O. Box 187,Ashland,KS,67831,,(620)635-2814,43,"Rural, Remote",No,43.00000,2.73000,15.7500000,6.00000,8.00000,–,Regular,Open
201200002178,KS-D0229-1370,2012000,KS-D0229,KG,05,Aspen Grove Elementary,Blue Valley,Johnson County,12402 West 182nd Terrace,Overland Park,KS,66223,,(913)456-2500,41,"Rural, Fringe",No,114.00000,11.50000,9.9100000,2.00000,2.00000,–,Regular,New
200570001962,KS-D0377-4889,2005700,KS-D0377,PK,06,Atchison County Community Elementary School,Atchison Co Comm Schools,Atchison County,PO Box 289,Effingham,KS,66023,,(913)833-4420,43,"Rural, Remote",No,256.00000,21.00000,12.1900000,116.00000,9.00000,–,Regular,Open
200570001957,KS-D0377-4891,2005700,KS-D0377,07,12,Atchison County Community JR/SR High,Atchison Co Comm Schools,Atchison County,PO Box 289,Effingham,KS,66023,,(913)833-2240,43,"Rural, Remote",No,258.00000,24.00000,10.7500000,95.00000,10.00000,–,Regular,Open
200354001126,KS-D0409-5761,2003540,KS-D0409,PK,05,Atchison Elementary School,Atchison Public Schools,Atchison County,825 N 17th Street,Atchison,KS,66002,,(913)367-1161,41,"Rural, Fringe",No,700.00000,52.60000,13.3100000,425.00000,35.00000,–,Regular,Open
200354000956,KS-D0409-5770,2003540,KS-D0409,09,12,Atchison High School,Atchison Public Schools,Atchison County,1500 W. Riley St,Atchison,KS,66002,,(913)367-4162,32,"Town, Distant",No,434.00000,36.80000,11.7900000,217.00000,41.00000,–,Regular,Open
200354000958,KS-D0409-5776,2003540,KS-D0409,06,08,Atchison Middle School,Atchison Public Schools,Atchison County,301 N 5th,Atchison,KS,66002,,(913)367-5363,32,"Town, Distant",No,295.00000,27.80000,10.6100000,168.00000,25.00000,–,Regular,Open
200357001514,KS-D0511-8764,2003570,KS-D0511,09,12,Attica High,Attica,Harper County,P.O. Box 415,Attica,KS,67009,,(620)254-7915,43,"Rural, Remote",No,37.00000,6.67000,5.5500000,11.00000,4.00000,–,Regular,Open
201200002045,KS-D0229-0823,2012000,KS-D0229,06,08,Aubry Bend Middle School,Blue Valley,Johnson County,12501 W. 175th Street,Overland Park,KS,66221,,(913)624-2300,12,"City, Midsize",No,809.00000,55.17000,14.6600000,42.00000,7.00000,–,Regular,Open
200320001066,KS-D0437-6512,2003200,KS-D0437,PK,06,Auburn Elementary,Auburn-Washburn,Shawnee County,Box 9,Auburn,KS,66402,,(785)339-4400,42,"Rural, Distant",No,348.00000,32.59000,10.6800000,79.00000,39.00000,–,Regular,Open
200363000918,KS-D0402-5560,2003630,KS-D0402,06,08,Augusta Middle School,Augusta,Butler County,1001 State St,Augusta,KS,67010,,(316)775-6383,31,"Town, Fringe",No,446.00000,33.92000,13.1500000,169.00000,41.00000,–,Regular,Open
200363000919,KS-D0402-5562,2003630,KS-D0402,09,12,Augusta Sr High,Augusta,Butler County,2020 Ohio,Augusta,KS,67010,,(316)775-5461,31,"Town, Fringe",No,627.00000,42.40000,14.7900000,198.00000,53.00000,–,Regular,Open
201226001440,KS-D0501-8446,2012260,KS-D0501,KG,12,Avondale Academy,Topeka Public Schools,Shawnee County,200 SE 40th St,Topeka,KS,66609,,(785)730-8250,12,"City, Midsize",No,18.00000,–,†,12.00000,0.00000,–,Regular,Open
200035002073,KS-D0113-0462,2000350,KS-D0113,PK,08,Axtell Elementary School,Prairie Hills,Marshall County,204 5th St.,Axtell,KS,66403,,(785)736-2237,43,"Rural, Remote",No,117.00000,10.47000,11.1700000,20.00000,18.00000,–,Regular,Open
200035002016,KS-D0113-0399,2000350,KS-D0113,09,12,Axtell High,Prairie Hills,Marshall County,504 Pine Street,Axtell,KS,66403,,(785)736-2237,43,"Rural, Remote",No,47.00000,5.33000,8.8200000,8.00000,8.00000,–,Regular,Open
200372002015,KS-D0348-4151,2003720,KS-D0348,03,05,Baldwin Elementary Intermediate Center,Baldwin City,Douglas County,P.O. 67,Baldwin City,KS,66006,,(785)594-2446,42,"Rural, Distant",No,288.00000,14.60000,19.7300000,81.00000,21.00000,–,Regular,Open
200372001989,KS-D0348-4150,2003720,KS-D0348,PK,02,Baldwin Elementary Primary Center,Baldwin City,Douglas County,P.O. Box 67,Baldwin City,KS,66006,,(785)594-2444,42,"Rural, Distant",No,393.00000,21.00000,18.7100000,94.00000,36.00000,–,Regular,Open
200372000704,KS-D0348-4142,2003720,KS-D0348,09,12,Baldwin High School,Baldwin City,Douglas County,PO Box 67,Baldwin City,KS,66006,,(785)594-2725,42,"Rural, Distant",No,413.00000,30.57000,13.5100000,81.00000,28.00000,–,Regular,Open
200372000703,KS-D0348-4141,2003720,KS-D0348,06,08,Baldwin Junior High School,Baldwin City,Douglas County,PO Box 67,Baldwin City,KS,66006,,(785)594-2448,42,"Rural, Distant",No,340.00000,21.70000,15.6700000,82.00000,31.00000,–,Regular,Open
200795001388,KS-D0500-8279,2007950,KS-D0500,KG,05,Banneker Elem,Kansas City,Wyandotte County,2026 N 4th Street,Kansas City,KS,66101,,(913)627-4700,12,"City, Midsize",No,244.00000,18.25000,13.3700000,191.00000,11.00000,–,Regular,Open
200330001496,KS-D0506-8658,2003300,KS-D0506,PK,08,Bartlett Elem,Labette County,Labette County,Box 4676,Bartlett,KS,67332,,(620)226-3414,43,"Rural, Remote",No,109.00000,10.80000,10.0900000,59.00000,14.00000,–,Regular,Open
