GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASN1E001,NAME_M,ASN1M001
"G20000100","2019-2023","KS",,,"Kansas","20",,,"Abbyville city","00100",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000100",,,"2000100","Abbyville city, Kansas",70,"Abbyville city, Kansas",30
"G20000125","2019-2023","KS",,,"Kansas","20",,,"Abilene city","00125",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000125",,,"2000125","Abilene city, Kansas",6449,"Abilene city, Kansas",23
"G20000225","2019-2023","KS",,,"Kansas","20",,,"Ada CDP","00225",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000225",,,"2000225","Ada CDP, Kansas",70,"Ada CDP, Kansas",67
"G20000325","2019-2023","KS",,,"Kansas","20",,,"Admire city","00325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000325",,,"2000325","Admire city, Kansas",177,"Admire city, Kansas",92
"G20000475","2019-2023","KS",,,"Kansas","20",,,"Agenda city","00475",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000475",,,"2000475","Agenda city, Kansas",71,"Agenda city, Kansas",34
"G20000550","2019-2023","KS",,,"Kansas","20",,,"Agra city","00550",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000550",,,"2000550","Agra city, Kansas",222,"Agra city, Kansas",67
"G20000825","2019-2023","KS",,,"Kansas","20",,,"Albert city","00825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000825",,,"2000825","Albert city, Kansas",102,"Albert city, Kansas",33
"G20000950","2019-2023","KS",,,"Kansas","20",,,"Alden city","00950",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2000950",,,"2000950","Alden city, Kansas",110,"Alden city, Kansas",47
"G20001050","2019-2023","KS",,,"Kansas","20",,,"Alexander city","01050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2001050",,,"2001050","Alexander city, Kansas",32,"Alexander city, Kansas",13
"G20001275","2019-2023","KS",,,"Kansas","20",,,"Allen city","01275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2001275",,,"2001275","Allen city, Kansas",276,"Allen city, Kansas",95
"G20001350","2019-2023","KS",,,"Kansas","20",,,"Alma city","01350",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2001350",,,"2001350","Alma city, Kansas",965,"Alma city, Kansas",195
"G20001425","2019-2023","KS",,,"Kansas","20",,,"Almena city","01425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2001425",,,"2001425","Almena city, Kansas",447,"Almena city, Kansas",155
"G20001550","2019-2023","KS",,,"Kansas","20",,,"Altamont city","01550",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2001550",,,"2001550","Altamont city, Kansas",996,"Altamont city, Kansas",216
