GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASQME001,ASQME002,ASQME003,ASQME004,ASQME005,ASQME006,ASQME007,ASQME008,ASQME009,ASQME010,ASQME011,ASQME012,ASQME013,ASQME014,ASQME015,ASQME016,ASQME017,ASQME018,ASQME019,ASQME020,ASQME021,ASQME022,ASQME023,ASQME024,ASQME025,ASQME026,ASQME027,ASQME028,ASQME029,ASQME030,ASQME031,ASQME032,ASQME033,ASQME034,ASQME035,NAME_M,ASQMM001,ASQMM002,ASQMM003,ASQMM004,ASQMM005,ASQMM006,ASQMM007,ASQMM008,ASQMM009,ASQMM010,ASQMM011,ASQMM012,ASQMM013,ASQMM014,ASQMM015,ASQMM016,ASQMM017,ASQMM018,ASQMM019,ASQMM020,ASQMM021,ASQMM022,ASQMM023,ASQMM024,ASQMM025,ASQMM026,ASQMM027,ASQMM028,ASQMM029,ASQMM030,ASQMM031,ASQMM032,ASQMM033,ASQMM034,ASQMM035
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",12035,1578,1186,345,344,1,841,111,41,70,730,664,66,392,325,246,79,67,10457,8953,6739,6735,4,2214,769,755,14,1445,1390,55,1504,1360,1268,92,144,"Allen County, Kansas",25,316,299,176,175,3,261,70,50,50,239,253,55,112,95,82,58,47,316,387,630,630,6,553,359,354,16,403,396,40,203,166,165,57,83
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",7704,840,622,365,365,0,257,146,120,26,111,87,24,218,175,155,20,43,6864,6026,5065,5065,0,961,406,406,0,555,552,3,838,809,751,58,29,"Anderson County, Kansas",24,319,313,299,299,16,173,147,144,30,86,81,27,100,90,82,24,34,324,398,457,457,16,268,172,172,16,195,194,5,179,171,159,38,25
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",14644,1871,1001,349,349,0,652,36,3,33,616,573,43,870,505,413,92,365,12773,10994,8786,8786,0,2208,736,698,38,1472,1382,90,1779,1585,1517,68,194,"Atchison County, Kansas",54,367,395,209,209,18,335,29,6,29,333,318,47,190,132,115,76,125,376,407,618,618,18,484,254,238,45,417,401,68,254,225,215,49,122
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",4058,716,565,449,436,13,116,28,11,17,88,83,5,151,126,115,11,25,3342,2797,2372,2372,0,425,165,161,4,260,251,9,545,506,461,45,39,"Barber County, Kansas",182,235,229,232,236,13,56,32,17,18,48,47,8,56,51,52,10,17,233,228,232,232,11,144,77,76,7,130,129,16,96,95,91,27,22
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",24698,3640,2448,983,951,32,1465,295,209,86,1170,1117,53,1192,788,629,159,404,21058,17611,13674,13654,20,3937,1060,998,62,2877,2510,367,3447,2976,2647,329,471,"Barton County, Kansas",115,605,491,325,328,52,443,305,209,103,372,350,47,339,204,162,115,199,620,655,861,856,31,629,378,354,52,562,533,139,381,305,293,115,175
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",14002,1649,1067,516,516,0,551,228,214,14,323,242,81,582,448,290,158,134,12353,10586,8515,8498,17,2071,383,332,51,1688,1582,106,1767,1554,1358,196,213,"Bourbon County, Kansas",28,394,321,257,257,18,227,179,171,21,179,151,63,184,155,138,102,83,395,499,678,681,24,463,187,165,50,451,423,87,291,270,217,137,115
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",9170,1303,834,394,370,24,440,137,61,76,303,278,25,469,335,255,80,134,7867,6527,5382,5382,0,1145,556,505,51,589,567,22,1340,1116,966,150,224,"Brown County, Kansas",87,187,165,138,136,18,105,49,25,43,99,96,16,110,82,61,59,63,195,269,345,345,16,209,164,155,25,160,158,17,215,186,180,60,105
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",64697,5845,4187,1739,1647,92,2448,651,620,31,1797,1607,190,1658,1335,1201,134,323,58852,52789,45476,45468,8,7313,2212,2025,187,5101,4880,221,6063,5429,4764,665,634,"Butler County, Kansas",134,983,941,742,746,64,754,310,306,27,645,566,118,285,231,200,74,118,984,1092,1251,1251,10,956,523,480,88,779,780,102,500,453,453,148,149
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",2458,258,171,78,78,0,93,16,0,16,77,76,1,87,85,76,9,2,2200,1830,1569,1569,0,261,90,90,0,171,171,0,370,330,298,32,40,"Chase County, Kansas",8,99,92,63,63,11,73,26,11,26,71,71,3,33,34,33,12,3,99,124,138,138,11,91,48,48,11,74,74,11,73,68,64,23,36
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",3320,560,398,172,153,19,226,40,29,11,186,167,19,162,83,72,11,79,2760,2358,1852,1844,8,506,200,176,24,306,273,33,402,365,319,46,37,"Chautauqua County, Kansas",3,135,125,73,79,25,98,36,33,11,88,75,26,45,31,28,10,32,135,146,189,192,12,138,96,81,22,113,108,22,79,74,71,27,19
"G2000210","2019-2023","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20021",,,"20021","Cherokee County, Kansas",18963,2476,1472,956,855,101,516,186,45,141,330,315,15,1004,786,611,175,218,16487,14487,11856,11817,39,2631,1074,1014,60,1557,1496,61,2000,1805,1578,227,195,"Cherokee County, Kansas",53,462,391,348,323,78,191,94,50,82,176,175,16,228,193,174,83,97,451,489,639,650,37,490,282,265,38,392,381,43,277,244,233,102,93
"G2000230","2019-2023","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20023",,,"20023","Cheyenne County, Kansas",2590,451,356,146,146,0,210,156,146,10,54,54,0,95,72,64,8,23,2139,1648,1312,1312,0,336,171,128,43,165,159,6,491,472,452,20,19,"Cheyenne County, Kansas",2,134,134,89,89,11,117,109,107,13,42,42,11,38,30,29,12,18,133,153,201,201,11,119,94,71,32,84,82,7,94,91,90,16,14
"G2000250","2019-2023","KS",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20025",,,"20025","Clark County, Kansas",1884,178,116,37,33,4,79,25,19,6,54,49,5,62,48,47,1,14,1706,1413,1217,1208,9,196,36,36,0,160,150,10,293,254,207,47,39,"Clark County, Kansas",186,66,54,26,26,6,46,35,29,7,35,34,7,35,31,30,3,13,175,187,160,159,11,110,25,25,11,109,103,14,59,49,50,26,24
"G2000270","2019-2023","KS",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20027",,,"20027","Clay County, Kansas",7876,1018,854,492,489,3,362,62,47,15,300,290,10,164,137,123,14,27,6858,5725,4702,4693,9,1023,389,330,59,634,557,77,1133,1027,821,206,106,"Clay County, Kansas",22,294,283,253,254,6,152,82,73,28,131,129,12,81,77,74,14,21,298,332,425,424,16,300,188,154,49,267,232,48,222,188,180,125,72
"G2000290","2019-2023","KS",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20029",,,"20029","Cloud County, Kansas",8497,863,457,176,161,15,281,105,82,23,176,146,30,406,228,194,34,178,7634,6315,5318,5302,16,997,582,535,47,415,391,24,1319,1208,1066,142,111,"Cloud County, Kansas",79,221,190,83,85,19,166,73,69,16,154,135,46,127,65,56,33,101,234,343,458,457,22,308,245,223,35,185,174,25,206,175,177,66,70
"G2000310","2019-2023","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20031",,,"20031","Coffey County, Kansas",8183,782,517,227,204,23,290,26,17,9,264,234,30,265,185,150,35,80,7401,6315,5062,5056,6,1253,454,430,24,799,757,42,1086,983,846,137,103,"Coffey County, Kansas",24,152,139,104,100,22,112,25,23,11,114,118,35,71,62,56,23,39,150,189,297,297,9,232,143,143,18,187,172,38,145,129,121,58,50
"G2000330","2019-2023","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20033",,,"20033","Comanche County, Kansas",1619,181,125,82,82,0,43,22,22,0,21,21,0,56,51,45,6,5,1438,1097,935,935,0,162,58,58,0,104,101,3,341,316,301,15,25,"Comanche County, Kansas",169,60,59,48,48,11,35,27,27,11,20,20,11,26,26,23,9,6,159,151,140,140,11,79,42,42,11,66,66,4,87,84,84,15,22
"G2000350","2019-2023","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20035",,,"20035","Cowley County, Kansas",32150,4455,3118,1032,959,73,2086,375,319,56,1711,1638,73,1337,947,750,197,390,27695,23031,17742,17647,95,5289,2040,1941,99,3249,2975,274,4664,4079,3616,463,585,"Cowley County, Kansas",162,616,590,304,293,68,518,191,186,34,503,466,60,238,190,155,129,109,619,750,1021,1013,70,835,678,666,56,549,522,103,436,389,360,126,151
"G2000370","2019-2023","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20037",,,"20037","Crawford County, Kansas",37152,7727,4582,1712,1554,158,2870,377,146,231,2493,2237,256,3145,2086,1456,630,1059,29425,24001,18871,18853,18,5130,1965,1855,110,3165,2980,185,5424,4438,3736,702,986,"Crawford County, Kansas",115,813,721,507,505,89,650,192,103,149,670,629,140,465,331,274,187,260,814,877,1127,1130,17,844,570,525,106,667,649,73,464,337,288,189,320
"G2000390","2019-2023","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20039",,,"20039","Decatur County, Kansas",2662,345,254,192,184,8,62,10,0,10,52,52,0,91,71,62,9,20,2317,1751,1509,1508,1,242,121,119,2,121,82,39,566,528,465,63,38,"Decatur County, Kansas",30,137,129,126,122,11,27,11,11,11,27,27,11,34,32,26,12,24,136,174,210,211,3,139,81,80,4,106,73,35,109,98,87,40,39
"G2000410","2019-2023","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20041",,,"20041","Dickinson County, Kansas",18043,1592,1080,567,554,13,513,79,56,23,434,414,20,512,466,443,23,46,16451,14050,11994,11962,32,2056,555,537,18,1501,1367,134,2401,2122,1814,308,279,"Dickinson County, Kansas",66,351,334,240,241,13,244,52,46,20,238,239,18,135,126,126,23,33,361,407,526,531,30,505,217,215,18,417,383,81,263,242,259,124,99
"G2000430","2019-2023","KS",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20043",,,"20043","Doniphan County, Kansas",6755,662,481,347,345,2,134,18,5,13,116,111,5,181,127,105,22,54,6093,5351,4178,4136,42,1173,333,300,33,840,785,55,742,672,598,74,70,"Doniphan County, Kansas",95,152,136,143,144,4,74,19,8,17,72,72,8,69,46,42,20,40,172,187,283,273,43,230,130,115,26,195,187,46,111,101,97,39,34
"G2000450","2019-2023","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20045",,,"20045","Douglas County, Kansas",111114,16894,4926,1559,1393,166,3367,787,576,211,2580,2223,357,11968,6621,3439,3182,5347,94220,71465,59369,59164,205,12096,3162,2921,241,8934,7950,984,22755,17360,12559,4801,5395,"Douglas County, Kansas",188,1198,957,522,500,91,816,465,409,103,676,621,169,1066,676,552,547,782,1207,1586,1957,1970,150,1223,640,583,112,1151,987,369,1321,1025,1067,679,620
"G2000470","2019-2023","KS",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20047",,,"20047","Edwards County, Kansas",2758,453,331,116,116,0,215,52,44,8,163,163,0,122,112,105,7,10,2305,1960,1515,1515,0,445,72,71,1,373,325,48,345,314,291,23,31,"Edwards County, Kansas",8,103,95,75,75,11,88,45,45,11,85,85,11,39,37,36,7,8,104,107,148,148,11,117,44,44,2,102,101,24,57,51,49,16,20
"G2000490","2019-2023","KS",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20049",,,"20049","Elk County, Kansas",2452,410,307,151,151,0,156,78,57,21,78,76,2,103,87,83,4,16,2042,1742,1429,1429,0,313,72,62,10,241,214,27,300,290,272,18,10,"Elk County, Kansas",6,95,90,66,66,11,92,84,63,22,48,48,3,30,29,30,5,10,94,98,132,132,11,96,36,30,8,92,77,19,54,52,49,9,14
"G2000510","2019-2023","KS",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20051",,,"20051","Ellis County, Kansas",27478,4873,2146,579,568,11,1567,504,377,127,1063,1023,40,2727,1647,953,694,1080,22605,18174,16033,16029,4,2141,761,699,62,1380,1237,143,4431,3558,2740,818,873,"Ellis County, Kansas",31,585,563,269,268,11,513,315,246,90,411,408,61,510,366,243,252,288,579,692,909,912,8,556,302,276,51,415,398,77,429,354,357,247,192
"G2000530","2019-2023","KS",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20053",,,"20053","Ellsworth County, Kansas",5360,453,302,142,83,59,160,20,14,6,140,135,5,151,114,114,0,37,4907,4181,3764,3760,4,417,154,147,7,263,228,35,726,662,604,58,64,"Ellsworth County, Kansas",22,102,97,67,47,46,77,17,15,6,74,71,8,42,38,38,16,23,107,155,223,224,7,127,84,79,11,96,88,25,120,108,103,36,37
"G2000550","2019-2023","KS",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20055",,,"20055","Finney County, Kansas",37216,4351,3330,1354,1324,30,1976,220,51,169,1756,1634,122,1021,801,713,88,220,32865,29029,19636,19603,33,9393,3927,3654,273,5466,5181,285,3836,3161,2704,457,675,"Finney County, Kansas",155,840,831,430,429,51,716,128,51,109,704,643,106,221,206,217,60,100,837,940,1436,1431,53,1294,694,666,115,1106,1085,197,526,365,350,176,272
"G2000570","2019-2023","KS",,,"Kansas","20","Ford County","057",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20057",,,"20057","Ford County, Kansas",33177,4769,4098,1458,1451,7,2640,315,225,90,2325,1954,371,671,443,373,70,228,28408,24550,17923,17866,57,6627,1863,1670,193,4764,4426,338,3858,3124,2437,687,734,"Ford County, Kansas",239,960,934,721,723,6,838,188,178,94,776,701,247,219,159,145,66,102,916,1031,1444,1441,102,1072,662,543,219,985,920,176,575,415,401,267,285
"G2000590","2019-2023","KS",,,"Kansas","20","Franklin County","059",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20059",,,"20059","Franklin County, Kansas",25339,2444,1585,655,584,71,930,205,87,118,725,618,107,859,531,418,113,328,22895,20016,16638,16490,148,3378,1380,1219,161,1998,1773,225,2879,2610,2311,299,269,"Franklin County, Kansas",58,485,412,225,219,48,362,144,72,102,296,258,74,245,137,108,72,157,491,534,889,904,108,696,477,416,136,501,456,108,321,285,290,96,91
"G2000610","2019-2023","KS",,,"Kansas","20","Geary County","061",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20061",,,"20061","Geary County, Kansas",34821,6709,5730,3064,3040,24,2666,222,158,64,2444,2373,71,979,749,679,70,230,28112,23914,19205,19182,23,4709,1607,1462,145,3102,2818,284,4198,3566,2824,742,632,"Geary County, Kansas",181,1056,1000,883,882,24,664,143,151,62,654,641,50,258,212,206,55,134,1071,1207,1436,1439,26,1019,667,578,122,742,749,117,495,410,382,267,248
"G2000630","2019-2023","KS",,,"Kansas","20","Gove County","063",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20063",,,"20063","Gove County, Kansas",2743,112,28,12,12,0,16,11,6,5,5,5,0,84,80,80,0,4,2631,2277,2081,2073,8,196,60,54,6,136,126,10,354,339,319,20,15,"Gove County, Kansas",156,33,19,13,13,11,13,10,8,8,9,9,11,28,28,28,11,4,155,154,159,159,10,68,43,42,6,51,46,11,81,77,76,13,13
"G2000650","2019-2023","KS",,,"Kansas","20","Graham County","065",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20065",,,"20065","Graham County, Kansas",2371,267,187,30,30,0,157,39,38,1,118,110,8,80,63,58,5,17,2104,1692,1441,1441,0,251,88,81,7,163,132,31,412,390,371,19,22,"Graham County, Kansas",6,85,81,31,31,11,77,46,46,2,62,62,11,34,28,27,8,16,85,112,161,161,11,114,71,68,8,82,73,21,75,74,75,12,17
"G2000670","2019-2023","KS",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20067",,,"20067","Grant County, Kansas",7194,390,256,18,18,0,238,75,55,20,163,163,0,134,77,25,52,57,6804,6134,5457,5457,0,677,54,54,0,623,566,57,670,644,627,17,26,"Grant County, Kansas",42,250,211,39,39,16,211,85,63,27,194,194,16,141,78,24,72,70,257,286,470,470,16,369,83,83,16,349,319,79,226,219,220,28,39
"G2000690","2019-2023","KS",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20069",,,"20069","Gray County, Kansas",5514,383,362,238,235,3,124,2,0,2,122,122,0,21,16,16,0,5,5131,4645,4141,4140,1,504,124,124,0,380,341,39,486,460,422,38,26,"Gray County, Kansas",68,163,162,164,164,4,107,3,16,3,107,107,16,14,12,12,16,9,152,165,220,220,3,168,82,82,16,141,125,32,92,82,77,24,23
"G2000710","2019-2023","KS",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20071",,,"20071","Greeley County, Kansas",1270,127,105,32,32,0,73,0,0,0,73,73,0,22,20,20,0,2,1143,988,925,925,0,63,20,20,0,43,37,6,155,140,120,20,15,"Greeley County, Kansas",124,64,62,33,33,11,51,11,11,11,51,51,11,12,12,12,11,5,119,124,129,129,11,43,21,21,11,37,36,8,47,38,38,19,17
"G2000730","2019-2023","KS",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20073",,,"20073","Greenwood County, Kansas",5872,873,614,205,205,0,409,105,61,44,304,304,0,259,224,208,16,35,4999,4164,3451,3451,0,713,353,331,22,360,320,40,835,737,643,94,98,"Greenwood County, Kansas",15,195,178,98,98,16,160,83,75,33,151,151,16,80,72,68,15,20,196,229,265,265,16,147,115,114,19,119,117,26,129,116,109,44,48
