GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASP2E001,ASP2E002,ASP2E003,ASP2E004,ASP2E005,ASP2E006,ASP2E007,ASP2E008,ASP2E009,ASP2E010,ASP2E011,ASP2E012,ASP2E013,ASP2E014,ASP2E015,ASP2E016,ASP2E017,ASP2E018,ASP2E019,ASP2E020,ASP2E021,ASP2E022,ASP2E023,ASP2E024,ASP2E025,ASP2E026,ASP2E027,ASP2E028,ASP2E029,ASP2E030,ASP2E031,ASP2E032,ASP2E033,ASP2E034,ASP2E035,NAME_M,ASP2M001,ASP2M002,ASP2M003,ASP2M004,ASP2M005,ASP2M006,ASP2M007,ASP2M008,ASP2M009,ASP2M010,ASP2M011,ASP2M012,ASP2M013,ASP2M014,ASP2M015,ASP2M016,ASP2M017,ASP2M018,ASP2M019,ASP2M020,ASP2M021,ASP2M022,ASP2M023,ASP2M024,ASP2M025,ASP2M026,ASP2M027,ASP2M028,ASP2M029,ASP2M030,ASP2M031,ASP2M032,ASP2M033,ASP2M034,ASP2M035
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",8551,4061,56,1,0,39,23,39,33,80,1560,313,591,374,636,267,39,10,4490,33,0,0,16,26,75,83,49,1462,603,687,589,586,246,11,24,"Allen County, Kansas",73,81,34,4,18,38,18,22,28,61,176,88,144,102,134,110,28,14,72,35,18,18,20,19,62,58,43,196,141,144,114,131,87,15,26
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",5206,2588,5,5,0,290,3,33,13,36,1274,135,233,187,164,158,28,24,2618,0,0,2,96,30,16,13,6,1044,362,292,308,282,151,16,0,"Anderson County, Kansas",46,76,8,7,16,127,14,29,13,36,187,65,77,93,83,87,28,37,72,16,16,5,69,36,17,16,7,161,102,95,115,118,86,19,16
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",9952,4803,97,4,0,46,20,152,41,46,2167,398,649,284,583,213,43,60,5149,2,0,49,7,29,16,17,41,1886,590,687,443,814,496,26,46,"Atchison County, Kansas",100,94,58,8,18,47,31,108,29,33,197,139,154,120,118,87,37,44,82,3,18,33,7,32,18,19,38,263,169,163,123,214,138,27,58
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",2824,1446,2,0,0,32,7,11,16,43,533,113,223,67,361,22,15,1,1378,0,0,0,3,20,4,14,17,378,154,198,223,256,77,22,12,"Barber County, Kansas",133,84,4,11,11,23,9,13,12,47,88,45,58,29,82,15,14,3,79,11,11,11,7,21,7,15,15,68,52,52,85,59,35,16,11
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",17174,8402,54,77,38,54,62,178,134,101,2439,1003,1404,927,1496,291,101,43,8772,94,108,39,157,243,166,77,92,2404,943,1477,1181,1298,432,53,8,"Barton County, Kansas",174,172,43,98,45,42,48,108,81,69,280,199,248,212,251,82,56,34,155,58,111,43,78,145,125,39,66,290,224,230,213,198,139,54,12
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",9436,4523,33,1,0,137,78,101,77,41,1521,442,683,359,754,195,68,33,4913,36,0,12,53,37,93,83,67,1438,500,845,505,810,361,30,43,"Bourbon County, Kansas",113,183,22,3,18,89,66,70,52,31,273,126,142,112,158,100,49,28,145,27,18,16,39,24,88,66,48,206,145,218,168,152,154,28,35
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",6475,3131,19,0,0,35,7,24,32,66,1282,249,683,233,398,68,15,20,3344,14,2,0,7,22,56,26,11,1235,342,414,531,428,219,17,20,"Brown County, Kansas",23,45,12,16,16,30,9,21,22,32,157,63,123,65,74,29,17,18,42,8,3,16,8,22,32,24,10,132,93,86,93,92,59,11,27
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",45010,22624,156,9,0,255,228,245,471,423,7028,2093,3078,1918,4344,1738,340,298,22386,69,11,5,210,59,98,253,185,5644,2278,2885,2749,4927,2659,134,220,"Butler County, Kansas",128,107,93,14,27,105,98,75,138,151,549,300,387,285,406,343,110,116,107,48,20,10,109,38,58,94,77,407,292,346,434,386,337,70,96
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",1872,945,20,0,0,10,36,10,13,7,369,62,130,102,125,53,8,0,927,0,0,11,8,2,12,0,10,237,120,92,73,292,65,2,3,"Chase County, Kansas",60,34,29,11,11,11,25,15,11,8,52,22,33,30,33,26,10,11,56,11,11,18,13,3,20,11,9,47,33,34,34,52,26,4,5
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",2409,1265,31,0,0,34,22,10,28,7,601,95,145,134,121,33,3,1,1144,29,0,0,7,11,23,36,18,332,82,202,120,205,49,8,22,"Chautauqua County, Kansas",49,41,22,11,11,27,18,12,22,7,73,36,54,39,45,18,4,2,33,22,11,11,6,10,19,22,12,69,28,61,40,62,27,11,20
