GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASSUE001,ASSUE002,ASSUE003,ASSUE004,ASSUE005,ASSUE006,ASSUE007,ASSUE008,ASSUE009,ASSUE010,ASSUE011,ASSUE012,ASSUE013,ASSUE014,ASSUE015,ASSUE016,ASSUE017,ASSUE018,ASSUE019,ASSUE020,ASSUE021,ASSUE022,ASSUE023,ASSUE024,ASSUE025,ASSUE026,ASSUE027,ASSUE028,ASSUE029,ASSUE030,ASSUE031,ASSUE032,ASSUE033,ASSUE034,ASSUE035,ASSUE036,ASSUE037,ASSUE038,ASSUE039,ASSUE040,ASSUE041,ASSUE042,ASSUE043,ASSUE044,ASSUE045,ASSUE046,ASSUE047,ASSUE048,ASSUE049,ASSUE050,ASSUE051,ASSUE052,ASSUE053,ASSUE054,ASSUE055,ASSUE056,ASSUE057,ASSUE058,ASSUE059,ASSUE060,ASSUE061,ASSUE062,ASSUE063,ASSUE064,ASSUE065,ASSUE066,ASSUE067,ASSUE068,ASSUE069,ASSUE070,ASSUE071,ASSUE072,ASSUE073,NAME_M,ASSUM001,ASSUM002,ASSUM003,ASSUM004,ASSUM005,ASSUM006,ASSUM007,ASSUM008,ASSUM009,ASSUM010,ASSUM011,ASSUM012,ASSUM013,ASSUM014,ASSUM015,ASSUM016,ASSUM017,ASSUM018,ASSUM019,ASSUM020,ASSUM021,ASSUM022,ASSUM023,ASSUM024,ASSUM025,ASSUM026,ASSUM027,ASSUM028,ASSUM029,ASSUM030,ASSUM031,ASSUM032,ASSUM033,ASSUM034,ASSUM035,ASSUM036,ASSUM037,ASSUM038,ASSUM039,ASSUM040,ASSUM041,ASSUM042,ASSUM043,ASSUM044,ASSUM045,ASSUM046,ASSUM047,ASSUM048,ASSUM049,ASSUM050,ASSUM051,ASSUM052,ASSUM053,ASSUM054,ASSUM055,ASSUM056,ASSUM057,ASSUM058,ASSUM059,ASSUM060,ASSUM061,ASSUM062,ASSUM063,ASSUM064,ASSUM065,ASSUM066,ASSUM067,ASSUM068,ASSUM069,ASSUM070,ASSUM071,ASSUM072,ASSUM073
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",5607,3090,774,283,230,53,155,11,137,7,255,51,4,142,58,81,70,11,344,64,26,17,9,188,66,0,393,252,141,651,14,341,296,928,479,307,142,2517,1068,248,138,110,73,67,6,0,499,87,0,364,48,248,157,91,434,112,18,0,18,133,69,102,689,238,451,72,10,52,10,254,186,27,41,"Allen County, Kansas",301,173,147,84,75,36,71,12,70,9,115,44,6,84,53,51,49,16,92,44,20,18,9,83,44,18,130,111,71,129,13,108,86,143,124,100,64,231,158,81,62,53,46,46,10,18,119,52,18,108,46,78,65,42,143,67,29,18,29,76,36,57,151,111,118,60,16,57,14,108,97,31,28
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",3421,1976,470,336,309,27,56,53,3,0,52,46,6,0,0,26,19,7,175,38,95,8,87,1,41,0,123,94,29,736,45,407,284,472,255,79,138,1445,608,171,82,89,3,3,0,0,249,19,27,173,30,185,117,68,269,64,0,0,0,64,8,133,432,152,280,24,6,18,0,112,59,16,37,"Anderson County, Kansas",212,141,140,129,125,29,46,47,6,16,48,47,7,16,16,29,28,9,111,47,102,13,101,4,31,16,55,51,25,174,42,128,128,134,102,65,71,170,156,109,78,64,7,7,16,16,115,27,35,97,39,81,74,51,119,52,16,16,16,38,11,100,128,87,108,31,8,29,16,66,58,14,29
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",7828,3867,1229,783,678,105,131,36,59,36,304,26,17,168,93,11,9,2,622,44,196,15,181,162,174,46,689,401,288,704,80,561,63,623,261,146,216,3961,1570,401,240,161,68,37,0,31,695,73,4,601,17,406,290,116,1048,312,131,4,127,392,55,158,986,351,635,20,4,16,0,337,91,46,200,"Atchison County, Kansas",345,230,194,182,173,76,75,31,54,32,108,28,20,71,75,14,13,3,136,39,75,15,73,103,93,40,188,160,116,152,53,144,39,141,86,72,90,255,276,136,95,93,57,44,18,33,157,46,6,151,24,199,155,70,205,137,94,6,93,158,47,62,178,119,147,16,5,14,18,158,101,36,111
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",2105,1114,364,321,297,24,3,0,1,2,33,8,5,20,0,7,5,2,63,0,23,0,23,6,25,9,74,60,14,303,51,121,131,310,146,74,90,991,455,113,105,8,0,0,0,0,188,38,6,137,7,154,114,40,246,147,1,0,1,44,33,21,272,84,188,8,8,0,0,10,5,3,2,"Barber County, Kansas",157,116,96,95,93,24,4,11,2,3,20,9,7,16,11,7,7,3,29,11,19,11,19,8,17,10,36,35,13,72,31,59,50,76,67,31,36,83,67,42,41,10,11,11,11,11,44,21,11,39,9,53,51,24,65,58,2,11,2,18,19,16,58,35,57,9,9,11,11,12,9,4,4
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",12121,6312,1897,1044,802,242,208,48,103,57,404,206,13,117,68,241,139,102,794,91,192,23,169,79,291,141,767,561,206,1360,231,869,260,1494,723,351,420,5809,2183,895,499,396,43,19,9,15,731,264,1,392,74,514,349,165,1346,351,23,8,15,604,203,165,1626,467,1159,94,54,34,6,560,194,199,167,"Barton County, Kansas",358,261,236,179,163,107,92,41,65,46,153,128,21,57,58,96,71,76,233,80,122,24,117,62,132,120,195,160,108,215,106,165,95,229,174,111,163,344,280,168,153,118,47,38,10,17,164,111,3,117,72,165,137,81,269,115,26,12,24,199,141,91,242,123,200,55,45,31,10,168,87,106,84
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",6767,3556,696,358,268,90,111,26,70,15,186,32,12,125,17,41,41,0,395,0,110,67,43,56,217,12,410,264,146,652,78,368,206,1403,736,303,364,3211,1375,476,144,332,61,27,11,23,523,35,25,441,22,315,140,175,558,173,38,32,6,188,39,120,941,333,608,0,0,0,0,337,259,36,42,"Bourbon County, Kansas",350,248,142,111,105,48,70,30,58,17,83,30,22,63,24,34,34,18,135,18,67,63,38,48,102,11,127,114,69,147,73,109,98,279,247,95,146,273,206,142,86,134,55,31,24,30,149,31,31,139,18,132,72,112,143,90,42,41,9,80,38,72,215,159,186,18,18,18,18,126,121,38,28
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",4337,2280,625,436,379,57,117,41,52,24,41,18,0,21,2,31,25,6,289,5,121,47,74,43,95,25,365,287,78,355,19,155,181,646,256,227,163,2057,849,239,181,58,33,16,10,7,431,76,21,307,27,146,102,44,507,117,6,4,2,142,91,151,537,226,311,27,6,17,4,137,118,3,16,"Brown County, Kansas",213,136,100,76,73,27,55,30,40,33,24,20,16,15,3,26,25,6,72,5,55,23,51,21,39,15,102,104,31,85,11,63,60,114,59,83,73,132,141,61,53,32,30,19,17,14,121,55,27,97,25,46,41,24,95,55,6,5,3,56,38,54,107,77,70,17,6,15,6,76,76,5,14
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",31887,16707,5976,2832,2180,652,1600,616,858,126,1152,127,84,835,106,392,331,61,2176,42,743,219,524,483,805,103,1997,1142,855,2933,178,1290,1465,3625,2028,775,822,15180,7333,2602,1556,1046,429,269,47,113,2572,241,90,2090,151,1730,1143,587,2676,750,105,52,53,811,489,521,4330,1247,3083,151,22,57,72,690,344,182,164,"Butler County, Kansas",627,403,480,333,320,185,345,212,235,79,287,70,63,247,60,130,120,41,271,29,211,92,179,155,176,57,311,209,218,361,79,226,232,409,303,172,210,481,460,315,245,206,149,124,37,74,310,91,62,280,83,261,217,195,319,169,62,44,41,208,145,177,472,251,392,78,26,40,58,142,107,97,71
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",1199,600,167,123,119,4,10,0,7,3,30,0,6,20,4,4,1,3,97,3,5,2,3,51,38,0,50,43,7,133,12,63,58,153,107,24,22,599,277,98,73,25,13,0,6,7,103,0,2,95,6,63,30,33,90,27,7,3,4,28,21,7,152,19,133,7,7,0,0,73,22,31,20,"Chase County, Kansas",72,49,46,40,39,5,11,11,9,4,16,11,10,15,4,6,3,5,37,5,6,3,4,29,19,11,29,26,9,43,18,27,23,48,40,16,18,63,51,33,31,18,13,11,10,8,33,11,5,33,7,31,21,21,27,17,7,4,6,17,17,11,38,16,30,10,10,11,11,41,27,22,19
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",1363,718,180,116,106,10,4,0,0,4,50,10,0,37,3,10,0,10,73,8,14,1,13,7,44,0,33,12,21,231,29,135,67,201,103,59,39,645,268,64,48,16,0,0,0,0,127,4,0,120,3,77,34,43,221,119,3,3,0,29,58,12,135,49,86,6,0,3,3,15,12,3,0,"Chautauqua County, Kansas",87,69,43,39,41,9,6,11,11,6,24,11,11,22,4,12,11,12,32,8,13,3,12,10,26,11,17,10,13,54,18,41,31,49,34,25,27,58,62,32,25,12,11,11,11,11,39,6,11,41,5,37,26,24,54,40,6,6,11,24,29,10,44,24,34,9,11,6,7,11,10,5,11
