GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASS5E001,ASS5E002,ASS5E003,ASS5E004,ASS5E005,ASS5E006,ASS5E007,ASS5E008,ASS5E009,ASS5E010,ASS5E011,ASS5E012,ASS5E013,ASS5E014,ASS5E015,ASS5E016,ASS5E017,ASS5E018,ASS5E019,ASS5E020,ASS5E021,ASS5E022,ASS5E023,ASS5E024,ASS5E025,ASS5E026,ASS5E027,ASS5E028,ASS5E029,ASS5E030,ASS5E031,ASS5E032,ASS5E033,ASS5E034,ASS5E035,ASS5E036,ASS5E037,ASS5E038,ASS5E039,ASS5E040,ASS5E041,ASS5E042,ASS5E043,ASS5E044,ASS5E045,ASS5E046,ASS5E047,ASS5E048,ASS5E049,ASS5E050,ASS5E051,ASS5E052,ASS5E053,ASS5E054,ASS5E055,NAME_M,ASS5M001,ASS5M002,ASS5M003,ASS5M004,ASS5M005,ASS5M006,ASS5M007,ASS5M008,ASS5M009,ASS5M010,ASS5M011,ASS5M012,ASS5M013,ASS5M014,ASS5M015,ASS5M016,ASS5M017,ASS5M018,ASS5M019,ASS5M020,ASS5M021,ASS5M022,ASS5M023,ASS5M024,ASS5M025,ASS5M026,ASS5M027,ASS5M028,ASS5M029,ASS5M030,ASS5M031,ASS5M032,ASS5M033,ASS5M034,ASS5M035,ASS5M036,ASS5M037,ASS5M038,ASS5M039,ASS5M040,ASS5M041,ASS5M042,ASS5M043,ASS5M044,ASS5M045,ASS5M046,ASS5M047,ASS5M048,ASS5M049,ASS5M050,ASS5M051,ASS5M052,ASS5M053,ASS5M054,ASS5M055
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",5607,3090,252,132,120,382,765,122,318,252,220,32,21,137,109,28,61,51,0,10,385,236,149,172,4,168,153,70,2517,8,8,0,70,265,10,273,47,41,6,26,161,114,47,68,51,0,17,1093,505,588,201,20,181,127,168,"Allen County, Kansas",301,173,84,55,71,122,132,64,111,88,90,25,20,89,86,22,43,39,18,12,108,99,58,73,6,73,63,56,231,7,7,18,60,88,11,100,41,39,9,20,67,59,30,59,58,18,17,170,114,137,90,24,87,67,84
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",3421,1976,294,233,61,377,432,10,159,182,117,65,5,72,33,39,62,49,0,13,123,56,67,15,11,4,115,130,1445,6,6,0,39,124,117,140,15,15,0,0,122,105,17,63,48,0,15,611,260,351,41,0,41,133,34,"Anderson County, Kansas",212,141,96,93,48,125,144,14,62,91,74,57,12,58,33,47,50,45,16,17,76,44,54,19,17,7,83,114,170,8,8,16,39,79,92,62,18,18,16,16,83,78,23,48,41,16,22,140,110,122,31,16,31,99,38
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",7828,3867,352,313,39,577,479,285,408,306,228,78,63,247,241,6,234,127,0,107,384,293,91,208,46,162,68,256,3961,4,4,0,46,122,65,471,56,50,6,55,194,174,20,222,124,9,89,1764,844,920,516,83,433,210,236,"Atchison County, Kansas",345,230,119,115,38,136,135,130,105,121,109,54,65,130,132,11,117,102,18,76,115,105,65,93,28,90,38,79,255,5,5,18,28,100,61,188,40,40,8,34,100,99,19,105,70,12,86,287,222,213,160,45,145,95,101
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",2105,1114,449,324,125,116,108,57,83,84,31,53,0,19,19,0,10,0,0,10,51,40,11,36,21,15,62,39,991,29,29,0,8,13,0,76,12,11,1,15,72,72,0,35,26,0,9,586,166,420,57,1,56,18,70,"Barber County, Kansas",157,116,100,93,51,59,47,30,32,30,20,31,11,19,19,11,8,11,11,8,28,26,9,20,15,13,50,23,83,20,20,11,11,12,11,33,9,9,2,11,29,29,11,19,16,11,13,77,44,78,28,2,28,15,35
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",12121,6312,883,602,281,980,888,178,569,446,229,217,59,294,163,131,531,176,0,355,593,242,351,134,47,87,336,421,5809,157,112,45,61,259,87,619,89,75,14,112,494,449,45,317,195,0,122,2175,698,1477,788,129,659,332,319,"Barton County, Kansas",358,261,138,121,98,222,204,88,156,151,97,101,46,110,83,81,148,73,21,132,153,86,137,89,64,61,143,167,344,67,55,33,43,101,60,180,50,46,18,75,156,151,41,110,92,21,56,287,152,265,251,125,211,114,148
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",6767,3556,213,192,21,343,1286,66,336,219,219,0,32,175,156,19,236,119,0,117,240,159,81,153,5,148,96,161,3211,132,115,17,7,275,107,387,83,83,0,37,387,381,6,129,89,0,40,1226,546,680,199,33,166,117,125,"Bourbon County, Kansas",350,248,90,85,24,108,313,42,133,76,76,18,33,101,94,26,96,70,18,68,101,69,56,99,8,98,50,84,273,94,88,25,12,104,80,180,61,61,18,30,134,136,11,77,67,18,30,201,159,169,99,38,93,54,127
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",4337,2280,258,258,0,202,522,82,266,256,233,23,40,63,43,20,97,28,16,53,143,65,78,109,67,42,98,144,2057,57,57,0,24,208,12,223,20,5,15,20,164,137,27,105,66,0,39,884,341,543,151,96,55,124,65,"Brown County, Kansas",213,136,57,57,16,58,106,38,103,86,85,13,22,34,21,25,49,23,24,32,52,38,37,32,23,22,38,60,132,33,33,16,18,85,16,73,24,6,24,13,56,56,25,39,38,16,20,141,97,110,45,31,29,55,28
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",31887,16707,724,574,150,1665,4175,533,1592,1172,875,297,66,593,366,227,1414,809,0,605,2250,1499,751,795,253,542,705,1023,15180,185,88,97,189,920,239,1515,423,397,26,218,1237,940,297,1217,864,0,353,6413,3040,3373,1219,193,1026,781,624,"Butler County, Kansas",627,403,174,161,75,249,460,181,313,240,196,123,49,133,118,101,286,190,27,217,347,303,194,165,114,157,147,225,481,86,54,67,86,205,130,250,150,143,25,102,207,176,104,224,179,27,127,491,352,357,242,106,221,183,170
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",1199,600,113,78,35,33,140,29,37,31,31,0,1,20,5,15,11,6,0,5,42,33,9,55,1,54,60,28,599,36,36,0,11,80,3,39,2,2,0,1,20,15,5,29,16,0,13,266,163,103,47,10,37,19,46,"Chase County, Kansas",72,49,35,30,19,16,40,23,20,21,21,11,3,14,5,12,8,6,11,6,20,19,8,29,2,29,29,15,63,25,25,11,11,44,5,23,3,3,11,2,12,10,6,16,11,11,13,51,48,38,21,8,20,14,21
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",1363,718,166,76,90,86,153,19,40,100,38,62,0,3,3,0,24,8,0,16,95,70,25,6,5,1,2,24,645,9,6,3,6,25,25,38,9,5,4,6,27,27,0,13,0,0,13,421,156,265,22,12,10,10,34,"Chautauqua County, Kansas",87,69,51,33,40,27,43,13,28,39,25,32,11,5,5,11,18,12,11,15,32,27,17,6,6,2,5,15,58,11,8,6,9,14,22,23,7,6,4,8,17,17,11,12,11,11,12,55,47,46,14,11,8,7,19
"G2000210","2019-2023","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20021",,,"20021","Cherokee County, Kansas",9099,4642,215,193,22,432,1280,147,488,438,323,115,9,102,48,54,271,53,0,218,585,346,239,263,108,155,219,193,4457,56,56,0,70,496,39,455,66,63,3,101,246,245,1,182,71,0,111,1896,457,1439,550,199,351,213,87,"Cherokee County, Kansas",340,227,70,66,22,119,234,91,155,146,126,71,12,88,38,66,117,46,18,106,148,128,95,95,74,67,77,77,258,64,64,18,81,121,39,112,41,41,5,63,125,125,3,95,43,18,78,230,139,223,153,83,118,84,53
"G2000230","2019-2023","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20023",,,"20023","Cheyenne County, Kansas",1262,667,257,235,22,46,43,23,36,63,40,23,3,14,9,5,31,24,0,7,32,32,0,55,19,36,57,7,595,50,50,0,0,9,37,37,8,8,0,9,32,29,3,34,30,0,4,256,106,150,47,2,45,32,44,"Cheyenne County, Kansas",76,54,65,66,19,23,24,15,24,30,25,15,6,13,12,7,22,20,11,7,22,22,11,35,21,28,29,9,57,32,32,11,11,10,33,26,11,11,11,7,18,18,4,25,25,11,6,60,43,49,26,4,26,22,30
