GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASWUE001,ASWUE002,ASWUE003,ASWUE004,ASWUE005,ASWUE006,ASWUE007,ASWUE008,ASWUE009,ASWUE010,ASWUE011,ASWUE012,ASWUE013,ASWUE014,ASWUE015,ASWUE016,ASWUE017,ASWUE018,ASWUE019,ASWUE020,ASWUE021,ASWUE022,ASWUE023,ASWUE024,ASWUE025,NAME_M,ASWUM001,ASWUM002,ASWUM003,ASWUM004,ASWUM005,ASWUM006,ASWUM007,ASWUM008,ASWUM009,ASWUM010,ASWUM011,ASWUM012,ASWUM013,ASWUM014,ASWUM015,ASWUM016,ASWUM017,ASWUM018,ASWUM019,ASWUM020,ASWUM021,ASWUM022,ASWUM023,ASWUM024,ASWUM025
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",5014,220,0,154,66,398,0,275,123,798,0,598,200,834,0,695,139,1010,4,817,189,1754,1,1596,157,"Allen County, Kansas",195,73,18,65,42,129,18,113,60,169,18,125,100,158,18,149,58,144,7,140,78,215,3,190,99
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",3287,92,2,54,36,291,0,210,81,640,1,473,166,316,2,293,21,535,0,370,165,1413,0,965,448,"Anderson County, Kansas",114,48,3,39,28,119,16,111,46,156,4,130,109,99,3,98,16,123,16,104,102,171,16,162,134
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",5876,386,0,172,214,391,0,262,129,857,0,680,177,840,0,721,119,1031,0,935,96,2371,1,2165,205,"Atchison County, Kansas",232,130,18,59,116,123,18,127,71,178,18,163,84,145,18,165,87,181,18,182,50,253,3,231,86
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",1806,108,0,48,60,117,0,84,33,237,1,194,42,241,0,184,57,398,1,327,70,705,0,695,10,"Barber County, Kansas",119,46,11,25,35,40,11,31,20,60,3,57,24,57,11,48,26,102,3,97,44,90,11,91,13
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",10219,459,0,379,80,836,0,670,166,1760,0,1207,553,1454,0,1296,158,1944,0,1629,315,3766,0,3581,185,"Barton County, Kansas",293,160,21,145,44,174,21,175,58,251,21,223,161,272,21,250,101,329,21,282,128,302,21,295,78
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",5770,193,0,146,47,482,1,343,138,957,0,770,187,764,5,661,98,736,13,681,42,2638,9,2439,190,"Bourbon County, Kansas",229,82,18,70,38,161,3,140,72,225,18,216,78,155,8,151,47,160,17,156,27,253,15,274,93
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",3719,199,0,150,49,307,4,187,116,469,12,364,93,538,3,450,85,744,0,665,79,1462,1,1316,145,"Brown County, Kansas",134,58,16,54,25,73,5,54,64,95,20,89,40,101,5,91,45,139,16,134,19,156,2,145,100
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",25025,990,0,731,259,1428,12,984,432,2378,0,1671,707,2480,0,2105,375,4511,10,4106,395,13238,10,12566,662,"Butler County, Kansas",337,292,27,228,163,274,20,235,138,315,27,261,227,322,27,302,126,412,13,404,120,443,15,487,227
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",1145,53,0,31,22,139,0,74,65,152,3,100,49,135,0,111,24,294,0,267,27,372,1,332,39,"Chase County, Kansas",63,28,11,20,21,42,11,25,35,42,4,39,30,40,11,37,19,75,11,69,23,59,3,55,24
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",1315,72,0,48,24,120,3,79,38,160,0,107,53,236,0,198,38,289,7,263,19,438,0,393,45,"Chautauqua County, Kansas",96,30,11,22,22,34,5,32,14,43,11,40,23,66,11,63,25,55,8,57,12,72,11,68,24
