GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASWSE001,ASWSE002,ASWSE003,ASWSE004,ASWSE005,ASWSE006,ASWSE007,ASWSE008,ASWSE009,ASWSE010,ASWSE011,ASWSE012,ASWSE013,ASWTE001,ASWTE002,ASWTE003,ASWTE004,ASWTE005,ASWTE006,NAME_M,ASWSM001,ASWSM002,ASWSM003,ASWSM004,ASWSM005,ASWSM006,ASWSM007,ASWSM008,ASWSM009,ASWSM010,ASWSM011,ASWSM012,ASWSM013,ASWTM001,ASWTM002,ASWTM003,ASWTM004,ASWTM005,ASWTM006
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",5014,4140,5,4135,3366,690,3024,724,609,30,5,182,692,5014,4609,5,4060,544,405,"Allen County, Kansas",195,208,8,207,227,135,235,166,138,14,9,101,166,195,198,8,208,135,98
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",3287,2370,5,2365,2026,493,1430,183,534,127,1,168,749,3287,2844,5,2336,503,443,"Anderson County, Kansas",114,212,5,211,220,138,226,84,120,85,2,80,197,114,175,5,208,158,137
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",5876,4936,1,4935,4471,1094,3355,313,735,65,4,162,778,5876,5392,1,4924,467,484,"Atchison County, Kansas",232,255,3,255,260,229,325,106,159,40,7,107,170,232,232,3,256,174,146
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",1806,1534,2,1532,1359,199,1256,147,168,13,0,20,252,1806,1702,2,1525,175,104,"Barber County, Kansas",119,120,5,120,118,57,111,48,49,16,11,14,70,119,114,5,120,61,45
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",10219,8762,0,8762,8110,1316,6882,523,840,93,0,105,1352,10219,9441,0,8673,768,778,"Barton County, Kansas",293,330,21,330,359,217,330,116,186,59,21,55,221,293,321,21,327,183,151
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",5770,5068,28,5040,4504,877,3777,485,491,38,0,105,597,5770,5390,28,5017,345,380,"Bourbon County, Kansas",229,269,26,267,265,193,295,141,145,27,18,54,140,229,247,26,265,113,95
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",3719,3152,20,3132,2626,389,2446,441,463,42,0,116,451,3719,3349,20,3089,240,370,"Brown County, Kansas",134,150,20,154,163,71,163,105,96,28,16,44,134,134,141,20,151,65,119
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",25025,22195,32,22163,20423,2885,17072,1325,2850,285,47,637,2193,25025,23931,32,22029,1870,1094,"Butler County, Kansas",337,520,31,518,517,335,557,246,323,132,54,251,381,337,358,31,515,381,203
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",1145,919,4,915,870,177,518,26,232,17,0,38,188,1145,1055,4,913,138,90,"Chase County, Kansas",63,79,5,81,82,57,66,17,48,12,11,24,59,63,73,5,80,43,36
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",1315,1098,10,1088,1032,308,570,38,214,11,5,46,171,1315,1210,10,1084,116,105,"Chautauqua County, Kansas",96,113,11,113,109,64,77,18,60,8,9,25,42,96,99,11,112,41,32
