GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASP3E001,ASP3E002,ASP3E003,ASP3E004,ASP3E005,ASP3E006,ASP3E007,ASP3E008,ASP3E009,ASP3E010,ASP3E011,ASP3E012,ASP3E013,ASP3E014,ASP3E015,ASP3E016,ASP3E017,ASP3E018,ASP3E019,ASP3E020,ASP3E021,ASP3E022,ASP3E023,ASP3E024,ASP3E025,NAME_M,ASP3M001,ASP3M002,ASP3M003,ASP3M004,ASP3M005,ASP3M006,ASP3M007,ASP3M008,ASP3M009,ASP3M010,ASP3M011,ASP3M012,ASP3M013,ASP3M014,ASP3M015,ASP3M016,ASP3M017,ASP3M018,ASP3M019,ASP3M020,ASP3M021,ASP3M022,ASP3M023,ASP3M024,ASP3M025
"G2000010","2019-2023","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20001",,,"20001","Allen County, Kansas",8551,89,0,0,0,0,1,0,0,0,0,55,49,114,116,129,2577,445,916,1278,963,1222,513,50,34,"Allen County, Kansas",73,48,18,18,18,18,4,18,18,18,18,45,25,67,61,75,286,85,174,217,153,209,148,33,30
"G2000030","2019-2023","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20003",,,"20003","Anderson County, Kansas",5206,5,0,0,0,0,0,5,2,0,28,358,33,49,26,42,1842,476,497,525,495,446,309,44,24,"Anderson County, Kansas",46,8,16,16,16,16,16,7,5,16,49,157,38,33,19,37,212,145,107,122,153,146,142,31,37
"G2000050","2019-2023","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20005",,,"20005","Atchison County, Kansas",9952,99,4,0,0,0,0,0,0,49,3,50,49,168,58,87,3597,456,988,1336,727,1397,709,69,106,"Atchison County, Kansas",100,58,8,18,18,18,18,18,18,33,4,47,46,109,43,47,338,154,243,213,173,248,171,47,82
"G2000070","2019-2023","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20007",,,"20007","Barber County, Kansas",2824,2,0,0,0,0,0,0,0,0,0,35,27,15,30,60,858,53,267,421,290,617,99,37,13,"Barber County, Kansas",133,4,11,11,11,11,11,11,11,11,11,25,22,14,18,51,118,27,72,76,89,107,37,18,11
"G2000090","2019-2023","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20009",,,"20009","Barton County, Kansas",17174,148,28,1,71,0,0,85,0,77,55,156,305,344,211,193,3911,932,1946,2881,2108,2794,723,154,51,"Barton County, Kansas",174,80,36,3,102,21,21,99,21,77,51,69,160,183,92,97,355,198,311,383,324,358,168,74,35
"G2000110","2019-2023","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20011",,,"20011","Bourbon County, Kansas",9436,69,0,0,0,1,0,0,11,1,0,190,115,194,160,108,2404,555,942,1528,864,1564,556,98,76,"Bourbon County, Kansas",113,38,18,18,18,3,18,18,15,2,18,93,69,119,81,56,330,154,209,262,209,245,195,62,48
"G2000130","2019-2023","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20013",,,"20013","Brown County, Kansas",6475,33,0,0,0,2,0,0,0,0,2,40,29,80,58,77,2219,298,591,1097,764,826,287,32,40,"Brown County, Kansas",23,16,16,16,16,3,16,16,16,16,3,30,23,42,31,32,218,79,104,156,129,130,58,21,32
"G2000150","2019-2023","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20015",,,"20015","Butler County, Kansas",45010,225,0,0,0,0,20,0,0,5,33,432,287,343,724,608,10318,2354,4371,5963,4667,9271,4397,474,518,"Butler County, Kansas",128,104,27,27,27,27,24,27,27,10,31,154,106,94,167,175,713,324,467,581,483,580,521,114,157
"G2000170","2019-2023","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20017",,,"20017","Chase County, Kansas",1872,20,0,0,0,0,0,0,0,11,0,18,38,22,13,17,523,83,182,222,175,417,118,10,3,"Chase County, Kansas",60,29,11,11,11,11,11,11,11,18,11,15,25,25,11,11,64,24,42,51,42,64,38,11,5
"G2000190","2019-2023","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US20019",,,"20019","Chautauqua County, Kansas",2409,60,0,0,0,0,0,0,0,0,0,41,33,33,64,25,790,143,177,347,254,326,82,11,23,"Chautauqua County, Kansas",49,36,11,11,11,11,11,11,11,11,11,29,26,24,30,14,98,55,45,78,61,72,29,12,20
