"STATEFP,C,2","COUNTYFP,C,3","COUNTYNS,C,8","GEOID,C,5","GEOIDFQ,C,14","NAME,C,100","NAMELSAD,C,100","LSAD,C,2","CLASSFP,C,2","MTFCC,C,5","CSAFP,C,3","CBSAFP,C,5","METDIVFP,C,5","FUNCSTAT,C,1","ALAND,N,14,0","AWATER,N,14,0","INTPTLAT,C,11","INTPTLON,C,12"
40,075,01101825,40075,0500000US40075,Kiowa,Kiowa County,06,H1,G4020,,,,A,2629039892,40296743,+34.9214893,-098.9816168
46,079,01265776,46079,0500000US46079,Lake,Lake County,06,H1,G4020,,,,A,1457916151,31746795,+44.0284497,-097.1232229
37,033,01008542,37033,0500000US37033,Caswell,Caswell County,06,H1,G4020,,,,A,1102042927,8293623,+36.3943252,-079.3396193
48,377,01383974,48377,0500000US48377,Presidio,Presidio County,06,H1,G4020,,,,A,9985057447,1773188,+30.0058912,-104.2616192
39,057,01074041,39057,0500000US39057,Greene,Greene County,06,H1,G4020,212,19430,,A,1071302625,6798109,+39.6874785,-083.8948943
48,489,01384030,48489,0500000US48489,Willacy,Willacy County,06,H1,G4020,154,39700,,A,1529680719,502856285,+26.4818607,-097.5947313
72,021,01804490,72021,0500000US72021,Bayam├│n,Bayam├│n Municipio,13,H1,G4020,490,41980,,A,115097577,314191,+18.3494195,-066.1686259
35,028,01702366,35028,0500000US35028,Los Alamos,Los Alamos County,06,H1,G4020,105,31060,,A,282626746,208105,+35.8700469,-106.3079679
40,023,01101799,40023,0500000US40023,Choctaw,Choctaw County,06,H1,G4020,,,,A,1995281898,75475686,+34.0276995,-095.5540792
20,041,00484990,20041,0500000US20041,Dickinson,Dickinson County,06,H1,G4020,,,,A,2193895344,12632459,+38.8677353,-097.1579434
48,427,01383999,48427,0500000US48427,Starr,Starr County,06,H1,G4020,365,40100,,A,3168019241,15386853,+26.5309027,-098.7402346
13,103,00350219,13103,0500000US13103,Effingham,Effingham County,06,H1,G4020,496,42340,,A,1240312876,10401161,+32.3616793,-081.3433755
40,129,01101852,40129,0500000US40129,Roger Mills,Roger Mills County,06,H1,G4020,,,,A,2955524816,13688537,+35.7085544,-099.7415716
55,103,01581112,55103,0500000US55103,Richland,Richland County,06,H1,G4020,,,,A,1518120284,8153422,+43.3761994,-090.4356927
35,025,01702365,35025,0500000US35025,Lea,Lea County,06,H1,G4020,,26020,,A,11374066519,8147103,+32.7956865,-103.4132707
01,075,00161563,01075,0500000US01075,Lamar,Lamar County,06,H1,G4020,,,,A,1566381027,1600679,+33.7870852,-088.0874309
